cell_type,sample,rank,gene,degree_centrality_all
BasalEpi_Acta2+Trp63,KO_DM,1,Fli1,0.30998248686514884
BasalEpi_Acta2+Trp63,KO_DM,2,Zeb1,0.2329246935201401
BasalEpi_Acta2+Trp63,KO_DM,3,Stat1,0.22942206654991243
BasalEpi_Acta2+Trp63,KO_DM,4,Pax5,0.2171628721541156
BasalEpi_Acta2+Trp63,KO_DM,5,Mef2c,0.15761821366024517
BasalEpi_Acta2+Trp63,KO_DM,6,Pbx3,0.14711033274956217
BasalEpi_Acta2+Trp63,KO_DM,7,Creb5,0.13485113835376533
BasalEpi_Acta2+Trp63,KO_DM,8,Etv5,0.1330998248686515
BasalEpi_Acta2+Trp63,KO_DM,9,Zbtb7c,0.13134851138353765
BasalEpi_Acta2+Trp63,KO_DM,10,Npas3,0.12084063047285463
BasalEpi_Acta2+Trp63,KO_DM,11,E2f3,0.11558669001751314
BasalEpi_Acta2+Trp63,KO_DM,12,Bcl11a,0.11033274956217162
BasalEpi_Acta2+Trp63,KO_DM,13,Ehf,0.10157618213660245
BasalEpi_Acta2+Trp63,KO_DM,14,Ebf1,0.09457092819614711
BasalEpi_Acta2+Trp63,KO_DM,15,Bcl11b,0.09106830122591944
BasalEpi_Acta2+Trp63,KO_DM,16,Klf12,0.07705779334500876
BasalEpi_Acta2+Trp63,KO_DM,17,Patz1,0.07180385288966724
BasalEpi_Acta2+Trp63,KO_DM,18,Ikzf1,0.07005253940455342
BasalEpi_Acta2+Trp63,KO_DM,19,Trp63,0.06830122591943957
BasalEpi_Acta2+Trp63,KO_DM,20,Lef1,0.06830122591943957
BasalEpi_Acta2+Trp63,KO_DM,21,Esrrg,0.06830122591943957
BasalEpi_Acta2+Trp63,KO_DM,22,Foxn3,0.05779334500875657
BasalEpi_Acta2+Trp63,KO_DM,23,Tcf7l2,0.05604203152364273
BasalEpi_Acta2+Trp63,KO_DM,24,Nfib,0.05253940455341506
BasalEpi_Acta2+Trp63,KO_DM,25,Grhl1,0.04553415061295972
BasalEpi_Acta2+Trp63,KO_DM,26,Rora,0.04203152364273205
BasalEpi_Acta2+Trp63,KO_DM,27,Plagl1,0.03852889667250438
BasalEpi_Acta2+Trp63,KO_DM,28,Thrb,0.03852889667250438
BasalEpi_Acta2+Trp63,KO_DM,29,Smad1,0.03502626970227671
BasalEpi_Acta2+Trp63,KO_DM,30,Pbx1,0.03327495621716287
BasalEpi_Acta2+Trp63,KO_DM,31,Fos,0.03327495621716287
BasalEpi_Acta2+Trp63,KO_DM,32,Mlxipl,0.03327495621716287
BasalEpi_Acta2+Trp63,KO_DM,33,Epas1,0.03327495621716287
BasalEpi_Acta2+Trp63,KO_DM,34,Foxp1,0.03152364273204904
BasalEpi_Acta2+Trp63,KO_DM,35,Ppara,0.0297723292469352
BasalEpi_Acta2+Trp63,KO_DM,36,Egr2,0.0297723292469352
BasalEpi_Acta2+Trp63,KO_DM,37,Prrx1,0.028021015761821366
BasalEpi_Acta2+Trp63,KO_DM,38,Trpm3,0.028021015761821366
BasalEpi_Acta2+Trp63,KO_DM,39,Lingo2,0.028021015761821366
BasalEpi_Acta2+Trp63,KO_DM,40,Mbtps2,0.02626970227670753
BasalEpi_Acta2+Trp63,KO_DM,41,Hdac2,0.024518388791593695
BasalEpi_Acta2+Trp63,KO_DM,42,Zfp740,0.024518388791593695
BasalEpi_Acta2+Trp63,KO_DM,43,Nkain2,0.02276707530647986
BasalEpi_Acta2+Trp63,KO_DM,44,9530026P05Rik,0.02276707530647986
BasalEpi_Acta2+Trp63,KO_DM,45,Klf4,0.02276707530647986
BasalEpi_Acta2+Trp63,KO_DM,46,Sorbs1,0.02276707530647986
BasalEpi_Acta2+Trp63,KO_DM,47,Csmd1,0.02276707530647986
BasalEpi_Acta2+Trp63,KO_DM,48,Tanc2,0.021015761821366025
BasalEpi_Acta2+Trp63,KO_DM,49,Hgf,0.021015761821366025
BasalEpi_Acta2+Trp63,KO_DM,50,Klf5,0.021015761821366025
BasalEpi_Acta2+Trp63,WT_DM,1,Stat1,0.249185667752443
BasalEpi_Acta2+Trp63,WT_DM,2,Zeb1,0.24267100977198697
BasalEpi_Acta2+Trp63,WT_DM,3,Fli1,0.2280130293159609
BasalEpi_Acta2+Trp63,WT_DM,4,Zbtb7c,0.15472312703583063
BasalEpi_Acta2+Trp63,WT_DM,5,Mef2c,0.15309446254071662
BasalEpi_Acta2+Trp63,WT_DM,6,Ehf,0.14006514657980457
BasalEpi_Acta2+Trp63,WT_DM,7,Pax5,0.13680781758957655
BasalEpi_Acta2+Trp63,WT_DM,8,Bcl11a,0.11889250814332247
BasalEpi_Acta2+Trp63,WT_DM,9,Creb5,0.10749185667752444
BasalEpi_Acta2+Trp63,WT_DM,10,Npas3,0.09120521172638436
BasalEpi_Acta2+Trp63,WT_DM,11,Plagl1,0.09120521172638436
BasalEpi_Acta2+Trp63,WT_DM,12,Etv5,0.08794788273615635
BasalEpi_Acta2+Trp63,WT_DM,13,Klf12,0.08469055374592833
BasalEpi_Acta2+Trp63,WT_DM,14,Patz1,0.08143322475570032
BasalEpi_Acta2+Trp63,WT_DM,15,Grhl1,0.07003257328990228
BasalEpi_Acta2+Trp63,WT_DM,16,Pbx3,0.07003257328990228
BasalEpi_Acta2+Trp63,WT_DM,17,E2f3,0.06677524429967427
BasalEpi_Acta2+Trp63,WT_DM,18,Bcl11b,0.06677524429967427
BasalEpi_Acta2+Trp63,WT_DM,19,Smad1,0.06026058631921824
BasalEpi_Acta2+Trp63,WT_DM,20,Tcf7l2,0.05863192182410423
BasalEpi_Acta2+Trp63,WT_DM,21,Ikzf1,0.057003257328990226
BasalEpi_Acta2+Trp63,WT_DM,22,Foxn3,0.057003257328990226
BasalEpi_Acta2+Trp63,WT_DM,23,Lef1,0.057003257328990226
BasalEpi_Acta2+Trp63,WT_DM,24,Rora,0.057003257328990226
BasalEpi_Acta2+Trp63,WT_DM,25,Esrrg,0.05537459283387622
BasalEpi_Acta2+Trp63,WT_DM,26,Foxa3,0.05537459283387622
BasalEpi_Acta2+Trp63,WT_DM,27,Ebf1,0.05211726384364821
BasalEpi_Acta2+Trp63,WT_DM,28,Klf5,0.04723127035830619
BasalEpi_Acta2+Trp63,WT_DM,29,Foxp1,0.04234527687296417
BasalEpi_Acta2+Trp63,WT_DM,30,Hdac2,0.04071661237785016
BasalEpi_Acta2+Trp63,WT_DM,31,Trp63,0.03908794788273615
BasalEpi_Acta2+Trp63,WT_DM,32,Prrx1,0.035830618892508145
BasalEpi_Acta2+Trp63,WT_DM,33,Egr2,0.035830618892508145
BasalEpi_Acta2+Trp63,WT_DM,34,Nfib,0.03257328990228013
BasalEpi_Acta2+Trp63,WT_DM,35,Zfp740,0.029315960912052116
BasalEpi_Acta2+Trp63,WT_DM,36,Wnt5b,0.026058631921824105
BasalEpi_Acta2+Trp63,WT_DM,37,Gm4876,0.024429967426710098
BasalEpi_Acta2+Trp63,WT_DM,38,Gpc6,0.024429967426710098
BasalEpi_Acta2+Trp63,WT_DM,39,Nfia,0.024429967426710098
BasalEpi_Acta2+Trp63,WT_DM,40,Arid5b,0.024429967426710098
BasalEpi_Acta2+Trp63,WT_DM,41,Acta2,0.024429967426710098
