,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Ets1,154,0.2558139534883721,2,0.0033222591362126247,152,0.25249169435215946,817.0,0.6253425501533938,KO_DM
Plagl1,125,0.20764119601328904,5,0.008305647840531562,120,0.19933554817275748,2179.0,0.6719555492788709,KO_DM
Ppargc1a,123,0.20431893687707642,3,0.0049833887043189366,120,0.19933554817275748,3862.0,1.0,KO_DM
Ppara,106,0.1760797342192691,5,0.008305647840531562,101,0.16777408637873753,2133.0,0.9470629823013514,KO_DM
Ebf1,102,0.16943521594684385,2,0.0033222591362126247,100,0.16611295681063123,1599.0,0.5738199793298061,KO_DM
Mlxipl,100,0.16611295681063123,9,0.014950166112956811,91,0.1511627906976744,3029.0,0.7005598667150511,KO_DM
Klf12,74,0.12292358803986711,0,0.0,74,0.12292358803986711,0.0,0.19446524108691277,KO_DM
Esr1,71,0.11794019933554817,3,0.0049833887043189366,68,0.11295681063122924,2189.0,0.3300892388959358,KO_DM
Foxo3,63,0.10465116279069768,6,0.009966777408637873,57,0.0946843853820598,1991.0,0.3099135831820114,KO_DM
Nfia,61,0.10132890365448505,2,0.0033222591362126247,59,0.09800664451827243,1200.0,0.3848861322056382,KO_DM
Esrrg,61,0.10132890365448505,5,0.008305647840531562,56,0.09302325581395349,2397.0,0.5606089117269372,KO_DM
Tcf7l2,58,0.09634551495016612,8,0.013289036544850499,50,0.08305647840531562,2084.0,0.305690492751341,KO_DM
Fli1,58,0.09634551495016612,2,0.0033222591362126247,56,0.09302325581395349,518.0,0.22526946022074137,KO_DM
Runx1,48,0.07973421926910298,4,0.006644518272425249,44,0.07308970099667775,1102.0,0.2569303515943225,KO_DM
Ehf,44,0.07308970099667775,2,0.0033222591362126247,42,0.06976744186046512,569.0,0.08072865161936281,KO_DM
Mef2c,44,0.07308970099667775,0,0.0,44,0.07308970099667775,0.0,0.20292161674898684,KO_DM
Npas3,44,0.07308970099667775,5,0.008305647840531562,39,0.06478405315614617,2625.0,0.18140618528372662,KO_DM
Stat1,41,0.0681063122923588,2,0.0033222591362126247,39,0.06478405315614617,1585.0,0.23919451402670092,KO_DM
Bcl11b,40,0.0664451827242525,2,0.0033222591362126247,38,0.06312292358803986,41.0,0.20440934848134465,KO_DM
