,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Plagl1,138,0.22772277227722773,6,0.009900990099009901,132,0.21782178217821782,2913.0,0.7286009011757381,WT_DM
Ppargc1a,132,0.21782178217821782,11,0.018151815181518153,121,0.19966996699669967,3198.0,1.0,WT_DM
Ets1,122,0.20132013201320131,3,0.0049504950495049506,119,0.19636963696369636,1378.0,0.21848944248489846,WT_DM
Ebf1,118,0.19471947194719472,1,0.0016501650165016502,117,0.19306930693069307,515.0,0.502515735142026,WT_DM
Ppara,101,0.16666666666666666,3,0.0049504950495049506,98,0.1617161716171617,1471.0,0.6292199317328444,WT_DM
Mlxipl,90,0.1485148514851485,3,0.0049504950495049506,87,0.14356435643564355,1837.0,0.7287191452614165,WT_DM
Nfia,81,0.13366336633663367,1,0.0016501650165016502,80,0.132013201320132,581.0,0.6710933719489389,WT_DM
Esr1,78,0.12871287128712872,6,0.009900990099009901,72,0.1188118811881188,1253.0,0.317424062401698,WT_DM
Stat1,77,0.12706270627062707,5,0.00825082508250825,72,0.1188118811881188,2864.0,0.4305781273880391,WT_DM
Fli1,76,0.1254125412541254,2,0.0033003300330033004,74,0.12211221122112212,549.0,0.13183412877676384,WT_DM
Esrrg,64,0.10561056105610561,9,0.01485148514851485,55,0.09075907590759076,2049.0,0.5175200833601907,WT_DM
Zbtb7c,60,0.09900990099009901,3,0.0049504950495049506,57,0.09405940594059406,803.0,0.26280578093793167,WT_DM
Npas3,50,0.08250825082508251,2,0.0033003300330033004,48,0.07920792079207921,304.0,0.1302448340978715,WT_DM
Klf12,48,0.07920792079207921,0,0.0,48,0.07920792079207921,0.0,0.06670540925485526,WT_DM
Tcf7l2,46,0.07590759075907591,4,0.006600660066006601,42,0.06930693069306931,3869.0,0.20668455884457027,WT_DM
Foxo3,44,0.07260726072607261,2,0.0033003300330033004,42,0.06930693069306931,726.0,0.11101703744417658,WT_DM
Runx1,42,0.06930693069306931,4,0.006600660066006601,38,0.0627062706270627,448.0,0.1578660844666016,WT_DM
Pparg,41,0.06765676567656766,7,0.01155115511551155,34,0.056105610561056105,1228.0,0.1541836511242151,WT_DM
Ehf,39,0.06435643564356436,1,0.0016501650165016502,38,0.0627062706270627,38.0,0.03080695646910249,WT_DM
Bcl11b,38,0.0627062706270627,2,0.0033003300330033004,36,0.0594059405940594,43.0,0.08044115512430829,WT_DM
