,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Pou2f2,95,0.1527331189710611,0,0.0,95,0.1527331189710611,0.0,1.0,KO_DM
Atf3,78,0.12540192926045016,0,0.0,78,0.12540192926045016,0.0,0.7875688929197313,KO_DM
Fli1,76,0.12218649517684887,1,0.001607717041800643,75,0.12057877813504823,383.0,0.4783666728868756,KO_DM
Etv6,71,0.11414790996784566,9,0.014469453376205787,62,0.09967845659163987,4493.0,0.8402537677332148,KO_DM
Tcf7l2,70,0.11254019292604502,11,0.017684887459807074,59,0.09485530546623794,6333.0,0.8579812745346881,KO_DM
Zeb1,67,0.10771704180064309,4,0.006430868167202572,63,0.10128617363344052,4211.0,0.7243221085697916,KO_DM
Pbx3,63,0.10128617363344052,14,0.022508038585209004,49,0.07877813504823152,4571.0,0.7178105536381266,KO_DM
Zbtb7c,62,0.09967845659163987,0,0.0,62,0.09967845659163987,0.0,0.5485729245731781,KO_DM
Ebf1,58,0.0932475884244373,2,0.003215434083601286,56,0.09003215434083602,3111.0,0.4135591285466784,KO_DM
Zbtb7a,58,0.0932475884244373,2,0.003215434083601286,56,0.09003215434083602,400.0,0.4990683280632299,KO_DM
Sp4,57,0.09163987138263666,2,0.003215434083601286,55,0.08842443729903537,1663.0,0.48058166814652076,KO_DM
Foxa1,52,0.08360128617363344,0,0.0,52,0.08360128617363344,0.0,0.4258616127917506,KO_DM
Prdm1,48,0.07717041800643087,0,0.0,48,0.07717041800643087,0.0,0.4138759996658785,KO_DM
Foxj3,46,0.07395498392282958,2,0.003215434083601286,44,0.0707395498392283,243.0,0.48058761683508255,KO_DM
Ppargc1a,46,0.07395498392282958,1,0.001607717041800643,45,0.07234726688102894,366.0,0.3080958268913166,KO_DM
Arnt,46,0.07395498392282958,2,0.003215434083601286,44,0.0707395498392283,1564.0,0.4139652155254609,KO_DM
Runx2,45,0.07234726688102894,5,0.008038585209003215,40,0.06430868167202572,2365.0,0.5738796880283545,KO_DM
Creb5,39,0.06270096463022508,2,0.003215434083601286,37,0.0594855305466238,1032.0,0.23855203301237338,KO_DM
Irf6,38,0.06109324758842444,1,0.001607717041800643,37,0.0594855305466238,52.0,0.2466226880285245,KO_DM
Klf12,38,0.06109324758842444,0,0.0,38,0.06109324758842444,0.0,0.286150691643235,KO_DM
Arntl,37,0.0594855305466238,0,0.0,37,0.0594855305466238,0.0,0.21922755549225328,KO_DM
Irf8,36,0.05787781350482315,8,0.012861736334405145,28,0.04501607717041801,4254.0,0.39367602513883965,KO_DM
Sp2,34,0.05466237942122187,0,0.0,34,0.05466237942122187,0.0,0.26204028739963753,KO_DM
Vezf1,32,0.05144694533762058,2,0.003215434083601286,30,0.04823151125401929,2721.0,0.40661576555700546,KO_DM
Trp63,31,0.04983922829581994,0,0.0,31,0.04983922829581994,0.0,0.23692506305178412,KO_DM
Polr3a,30,0.04823151125401929,2,0.003215434083601286,28,0.04501607717041801,1593.0,0.3646897795574908,KO_DM
Nr4a2,30,0.04823151125401929,0,0.0,30,0.04823151125401929,0.0,0.24445646034907065,KO_DM
Bcl11b,28,0.04501607717041801,1,0.001607717041800643,27,0.04340836012861737,18.0,0.1589077902640063,KO_DM
Esrrg,28,0.04501607717041801,0,0.0,28,0.04501607717041801,0.0,0.13182862255000705,KO_DM
Foxp1,28,0.04501607717041801,12,0.01929260450160772,16,0.02572347266881029,3876.0,0.41048135636501143,KO_DM
Zfp281,28,0.04501607717041801,0,0.0,28,0.04501607717041801,0.0,0.16833275731448877,KO_DM
Patz1,27,0.04340836012861737,1,0.001607717041800643,26,0.04180064308681672,22.0,0.21235994602892247,KO_DM
Rfx1,26,0.04180064308681672,0,0.0,26,0.04180064308681672,0.0,0.1784354785417325,KO_DM
Runx1,25,0.04019292604501608,4,0.006430868167202572,21,0.03376205787781351,2080.0,0.28282268778580955,KO_DM
Tfcp2,25,0.04019292604501608,0,0.0,25,0.04019292604501608,0.0,0.16753615542136033,KO_DM
Stat4,24,0.03858520900321544,7,0.011254019292604502,17,0.027331189710610933,1513.0,0.33822149859401585,KO_DM
E2f7,23,0.03697749196141479,0,0.0,23,0.03697749196141479,0.0,0.15905052371641765,KO_DM
Nr4a3,23,0.03697749196141479,0,0.0,23,0.03697749196141479,0.0,0.19161425694149994,KO_DM
Bach2,23,0.03697749196141479,2,0.003215434083601286,21,0.03376205787781351,374.0,0.20199828334265374,KO_DM
Spic,23,0.03697749196141479,0,0.0,23,0.03697749196141479,0.0,0.2435455994556755,KO_DM
Esr1,22,0.03536977491961415,0,0.0,22,0.03536977491961415,0.0,0.13360132527561516,KO_DM
Foxo3,22,0.03536977491961415,2,0.003215434083601286,20,0.03215434083601286,263.0,0.15758286092622925,KO_DM
Myef2,22,0.03536977491961415,4,0.006430868167202572,18,0.028938906752411574,308.0,0.18660035815158704,KO_DM
Rbpj,21,0.03376205787781351,7,0.011254019292604502,14,0.022508038585209004,913.0,0.2598912301832447,KO_DM
Npas3,20,0.03215434083601286,1,0.001607717041800643,19,0.03054662379421222,45.0,0.14671867817151002,KO_DM
Pgr,20,0.03215434083601286,0,0.0,20,0.03215434083601286,0.0,0.09359043857628936,KO_DM
Glis2,20,0.03215434083601286,0,0.0,20,0.03215434083601286,0.0,0.08224707225036211,KO_DM
Nfib,19,0.03054662379421222,1,0.001607717041800643,18,0.028938906752411574,341.0,0.14649407456263575,KO_DM
Rab8b,19,0.03054662379421222,19,0.03054662379421222,0,0.0,0.0,0.4597510116505704,KO_DM
Smad3,18,0.028938906752411574,0,0.0,18,0.028938906752411574,0.0,0.09730706974035355,KO_DM
Rasa2,17,0.027331189710610933,17,0.027331189710610933,0,0.0,0.0,0.4729823998200783,KO_DM
Fnbp1,17,0.027331189710610933,17,0.027331189710610933,0,0.0,0.0,0.28476429585388746,KO_DM
Tcf4,17,0.027331189710610933,4,0.006430868167202572,13,0.02090032154340836,144.0,0.20577261197842056,KO_DM
Myb,17,0.027331189710610933,0,0.0,17,0.027331189710610933,0.0,0.1622474330080568,KO_DM
Nfia,15,0.024115755627009645,1,0.001607717041800643,14,0.022508038585209004,13.0,0.11382402428259149,KO_DM
Nr1d2,15,0.024115755627009645,2,0.003215434083601286,13,0.02090032154340836,504.0,0.14585549448159166,KO_DM
Atrnl1,15,0.024115755627009645,15,0.024115755627009645,0,0.0,0.0,0.3152858124253656,KO_DM
Ubp1,15,0.024115755627009645,2,0.003215434083601286,13,0.02090032154340836,235.0,0.09926721503620395,KO_DM
Ar,14,0.022508038585209004,0,0.0,14,0.022508038585209004,0.0,0.08020285669932038,KO_DM
Plcl1,14,0.022508038585209004,14,0.022508038585209004,0,0.0,0.0,0.38757532403568995,KO_DM
Cytip,14,0.022508038585209004,14,0.022508038585209004,0,0.0,0.0,0.31014616481640184,KO_DM
Tmtc2,14,0.022508038585209004,14,0.022508038585209004,0,0.0,0.0,0.2838966658869652,KO_DM
