,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Klf12,116,0.21722846441947566,0,0.0,116,0.21722846441947566,0.0,1.0,WT_DM
Zeb1,81,0.15168539325842698,10,0.018726591760299626,71,0.13295880149812733,3941.0,0.40631247849310576,WT_DM
Klf2,79,0.14794007490636704,7,0.013108614232209739,72,0.1348314606741573,5330.0,0.46399184366366036,WT_DM
Ebf1,77,0.1441947565543071,7,0.013108614232209739,70,0.13108614232209737,2160.0,0.49486568375827567,WT_DM
Klf8,76,0.14232209737827714,0,0.0,76,0.14232209737827714,0.0,0.4685729815348345,WT_DM
Sin3a,72,0.1348314606741573,0,0.0,72,0.1348314606741573,0.0,0.31579960180998606,WT_DM
Npas3,58,0.10861423220973783,3,0.0056179775280898875,55,0.10299625468164794,444.0,0.24353913411108907,WT_DM
Fli1,57,0.10674157303370786,8,0.0149812734082397,49,0.09176029962546817,1048.0,0.40237525792878837,WT_DM
Pparg,54,0.10112359550561797,13,0.024344569288389514,41,0.07677902621722846,989.0,0.5499526485234147,WT_DM
Mef2c,54,0.10112359550561797,11,0.020599250936329586,43,0.08052434456928839,2193.0,0.3545483399299485,WT_DM
E2f1,53,0.09925093632958802,0,0.0,53,0.09925093632958802,0.0,0.1686747624491966,WT_DM
Chd2,51,0.09550561797752809,4,0.00749063670411985,47,0.08801498127340825,865.0,0.2510589908762423,WT_DM
Tbp,44,0.08239700374531835,0,0.0,44,0.08239700374531835,0.0,0.24555262890661209,WT_DM
Elk4,42,0.07865168539325842,2,0.003745318352059925,40,0.0749063670411985,2515.0,0.2658026400143127,WT_DM
Tcf4,41,0.07677902621722846,12,0.02247191011235955,29,0.054307116104868915,2590.0,0.30136601250467576,WT_DM
Xbp1,40,0.0749063670411985,0,0.0,40,0.0749063670411985,0.0,0.29088758960612265,WT_DM
Ar,38,0.07116104868913857,0,0.0,38,0.07116104868913857,0.0,0.16471523116256465,WT_DM
Etv6,38,0.07116104868913857,10,0.018726591760299626,28,0.052434456928838954,1823.0,0.18084891946840304,WT_DM
Nfib,38,0.07116104868913857,13,0.024344569288389514,25,0.04681647940074907,4910.0,0.19412942678017922,WT_DM
