,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Ebf1,103,0.16018662519440124,5,0.007776049766718507,98,0.15241057542768274,1480.0,0.6754037040777285,KO_DM
Thrb,97,0.15085536547433903,2,0.003110419906687403,95,0.14774494556765164,1796.0,0.5276386918302357,KO_DM
Mlxipl,89,0.13841368584758942,4,0.006220839813374806,85,0.1321928460342146,1239.0,0.5477699972279289,KO_DM
Nr3c2,86,0.13374805598755832,12,0.01866251944012442,74,0.1150855365474339,3531.0,1.0,KO_DM
Tcf12,83,0.1290824261275272,2,0.003110419906687403,81,0.12597200622083982,1552.0,0.6161166567582372,KO_DM
Bhlhe40,70,0.1088646967340591,0,0.0,70,0.1088646967340591,0.0,0.4852270431280332,KO_DM
Fos,68,0.1057542768273717,0,0.0,68,0.1057542768273717,0.0,0.4748920488956808,KO_DM
Zeb1,65,0.10108864696734059,2,0.003110419906687403,63,0.09797822706065319,716.0,0.3689961114290535,KO_DM
Mxi1,55,0.08553654743390357,2,0.003110419906687403,53,0.08242612752721618,93.0,0.24643850012415006,KO_DM
Tfap2b,50,0.07776049766718507,0,0.0,50,0.07776049766718507,0.0,0.23087506015759465,KO_DM
Npas3,48,0.07465007776049767,5,0.007776049766718507,43,0.06687402799377916,1662.0,0.18253459654978715,KO_DM
Pgr,46,0.07153965785381027,5,0.007776049766718507,41,0.06376360808709176,2103.0,0.30863298111279147,KO_DM
Mef2c,45,0.06998444790046657,0,0.0,45,0.06998444790046657,0.0,0.0868823495629084,KO_DM
Ar,45,0.06998444790046657,4,0.006220839813374806,41,0.06376360808709176,242.0,0.281429046826892,KO_DM
Cebpb,44,0.06842923794712286,1,0.0015552099533437014,43,0.06687402799377916,801.0,0.3069374508998332,KO_DM
Pparg,43,0.06687402799377916,5,0.007776049766718507,38,0.05909797822706065,977.0,0.2708599231763003,KO_DM
Stat5a,41,0.06376360808709176,4,0.006220839813374806,37,0.05754276827371695,1921.0,0.3122331433958444,KO_DM
E2f3,40,0.06220839813374806,1,0.0015552099533437014,39,0.060653188180404355,276.0,0.2165181868155091,KO_DM
Trp63,40,0.06220839813374806,1,0.0015552099533437014,39,0.060653188180404355,29.0,0.10933117981021975,KO_DM
Klf13,40,0.06220839813374806,0,0.0,40,0.06220839813374806,0.0,0.2389043413586431,KO_DM
