,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Tcf7l2,181,0.2693452380952381,11,0.01636904761904762,170,0.25297619047619047,12167.0,1.0,KO_DM
Ets1,127,0.18898809523809523,6,0.008928571428571428,121,0.1800595238095238,4980.0,0.7617107010171906,KO_DM
Fli1,111,0.16517857142857142,6,0.008928571428571428,105,0.15625,4547.0,0.7028072539696242,KO_DM
Pax5,97,0.14434523809523808,2,0.002976190476190476,95,0.14136904761904762,1334.0,0.30412244256843685,KO_DM
Tfap2b,93,0.13839285714285715,0,0.0,93,0.13839285714285715,0.0,0.21098563597896264,KO_DM
Mef2c,91,0.13541666666666666,3,0.004464285714285714,88,0.13095238095238096,4768.0,0.26154835607366744,KO_DM
Tfap2c,86,0.12797619047619047,0,0.0,86,0.12797619047619047,0.0,0.24907021688413297,KO_DM
Trp63,70,0.10416666666666667,6,0.008928571428571428,64,0.09523809523809523,3919.0,0.2424007991502142,KO_DM
Npas3,66,0.09821428571428571,7,0.010416666666666666,59,0.08779761904761904,2008.0,0.38147205608268897,KO_DM
Zbtb7c,64,0.09523809523809523,5,0.00744047619047619,59,0.08779761904761904,4651.0,0.2185125129417407,KO_DM
Ebf1,60,0.08928571428571429,3,0.004464285714285714,57,0.08482142857142858,962.0,0.2469805663709261,KO_DM
Hes1,56,0.08333333333333333,1,0.001488095238095238,55,0.0818452380952381,1628.0,0.20901863206437263,KO_DM
Bcl11b,54,0.08035714285714286,6,0.008928571428571428,48,0.07142857142857142,459.0,0.4695649071730878,KO_DM
Stat1,49,0.07291666666666667,3,0.004464285714285714,46,0.06845238095238096,2482.0,0.16248482063536582,KO_DM
Nfib,47,0.06994047619047619,8,0.011904761904761904,39,0.05803571428571429,1289.0,0.3096737507901398,KO_DM
Etv6,44,0.06547619047619048,5,0.00744047619047619,39,0.05803571428571429,2281.0,0.2437250134989261,KO_DM
Nfatc2,42,0.0625,1,0.001488095238095238,41,0.06101190476190476,44.0,0.17367353495832485,KO_DM
Creb5,38,0.05654761904761905,5,0.00744047619047619,33,0.049107142857142856,1000.0,0.23514053328763174,KO_DM
Bcl11a,36,0.05357142857142857,3,0.004464285714285714,33,0.049107142857142856,2068.0,0.16716126975796208,KO_DM
Nfia,34,0.050595238095238096,3,0.004464285714285714,31,0.046130952380952384,821.0,0.13456764836862273,KO_DM
Maf,32,0.047619047619047616,0,0.0,32,0.047619047619047616,0.0,0.08393788700896927,KO_DM
Tcf4,30,0.044642857142857144,7,0.010416666666666666,23,0.03422619047619048,4588.0,0.08395834469653096,KO_DM
Nr4a3,29,0.043154761904761904,0,0.0,29,0.043154761904761904,0.0,0.05364777592955217,KO_DM
Rora,28,0.041666666666666664,8,0.011904761904761904,20,0.02976190476190476,544.0,0.14280299672377583,KO_DM
Foxa1,27,0.04017857142857143,0,0.0,27,0.04017857142857143,0.0,0.0642801202800061,KO_DM
Foxn3,25,0.03720238095238095,7,0.010416666666666666,18,0.026785714285714284,1607.0,0.11946657215276059,KO_DM
Klf8,25,0.03720238095238095,0,0.0,25,0.03720238095238095,0.0,0.04443499964913242,KO_DM
Pbx1,23,0.03422619047619048,8,0.011904761904761904,15,0.022321428571428572,1844.0,0.2617717122032533,KO_DM
Ikzf1,23,0.03422619047619048,7,0.010416666666666666,16,0.023809523809523808,1448.0,0.12807217222458903,KO_DM
Sin3a,22,0.03273809523809524,1,0.001488095238095238,21,0.03125,234.0,0.0475215153412208,KO_DM
Bach2,20,0.02976190476190476,7,0.010416666666666666,13,0.019345238095238096,1268.0,0.09058854193872838,KO_DM
Mybl1,19,0.028273809523809524,5,0.00744047619047619,14,0.020833333333333332,1484.0,0.07128595374049619,KO_DM
Runx1,18,0.026785714285714284,6,0.008928571428571428,12,0.017857142857142856,3262.0,0.10582165305310616,KO_DM
Elf4,18,0.026785714285714284,3,0.004464285714285714,15,0.022321428571428572,251.0,0.10439645640178366,KO_DM
Hivep2,18,0.026785714285714284,4,0.005952380952380952,14,0.020833333333333332,799.0,0.050584630642224654,KO_DM
Lef1,18,0.026785714285714284,5,0.00744047619047619,13,0.019345238095238096,1731.0,0.11735182632567728,KO_DM
Klf12,18,0.026785714285714284,0,0.0,18,0.026785714285714284,0.0,0.07212596702879152,KO_DM
Plagl1,17,0.025297619047619048,0,0.0,17,0.025297619047619048,0.0,0.059891321962801794,KO_DM
Klf7,16,0.023809523809523808,1,0.001488095238095238,15,0.022321428571428572,173.0,0.031068862355211672,KO_DM
Irf8,16,0.023809523809523808,0,0.0,16,0.023809523809523808,0.0,0.022671743996347565,KO_DM
Glis3,16,0.023809523809523808,0,0.0,16,0.023809523809523808,0.0,0.042506805767394164,KO_DM
Sp4,16,0.023809523809523808,1,0.001488095238095238,15,0.022321428571428572,572.0,0.06834930930647908,KO_DM
Irx4,15,0.022321428571428572,0,0.0,15,0.022321428571428572,0.0,0.06951942730061762,KO_DM
