,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Tcf7l2,109,0.18568994889267462,18,0.030664395229982964,91,0.15502555366269166,10075.0,0.9999999999999999,WT_DM
Ets1,98,0.16695059625212946,5,0.008517887563884156,93,0.15843270868824533,2487.0,0.9760060518294791,WT_DM
Tfap2c,93,0.15843270868824533,0,0.0,93,0.15843270868824533,0.0,0.5132852867722784,WT_DM
Tfap2b,92,0.1567291311754685,0,0.0,92,0.1567291311754685,0.0,0.39829079534215406,WT_DM
Fli1,81,0.13798977853492334,8,0.013628620102214651,73,0.12436115843270869,4051.0,0.8482070917093061,WT_DM
Mef2c,80,0.1362862010221465,6,0.010221465076660987,74,0.1260647359454855,1897.0,0.5047932938226769,WT_DM
Pax5,77,0.131175468483816,5,0.008517887563884156,72,0.12265758091993186,1869.0,0.5454036822954959,WT_DM
Hes1,68,0.11584327086882454,0,0.0,68,0.11584327086882454,0.0,0.3943725107923022,WT_DM
Sin3a,61,0.10391822827938671,1,0.0017035775127768314,60,0.10221465076660988,407.0,0.22713303610963329,WT_DM
Klf12,60,0.10221465076660988,0,0.0,60,0.10221465076660988,0.0,0.2313998062275242,WT_DM
Npas2,59,0.10051107325383304,2,0.0034071550255536627,57,0.09710391822827939,168.0,0.2394988693260912,WT_DM
Stat1,56,0.09540034071550256,4,0.0068143100511073255,52,0.08858603066439523,1768.0,0.35068303361871206,WT_DM
Ebf1,49,0.08347529812606473,7,0.01192504258943782,42,0.07155025553662692,1047.0,0.3733246831733697,WT_DM
Trp63,45,0.07666098807495741,4,0.0068143100511073255,41,0.06984667802385008,1872.0,0.2312150182530296,WT_DM
Npas3,44,0.07495741056218058,13,0.022146507666098807,31,0.05281090289608177,1172.0,0.4586477480975416,WT_DM
Klf8,36,0.06132879045996593,0,0.0,36,0.06132879045996593,0.0,0.17421814564647825,WT_DM
Sp4,36,0.06132879045996593,1,0.0017035775127768314,35,0.059625212947189095,85.0,0.26651869468073874,WT_DM
Fos,36,0.06132879045996593,0,0.0,36,0.06132879045996593,0.0,0.12663428979132108,WT_DM
Klf7,31,0.05281090289608177,1,0.0017035775127768314,30,0.05110732538330494,28.0,0.0773397445753417,WT_DM
Thrb,31,0.05281090289608177,1,0.0017035775127768314,30,0.05110732538330494,197.0,0.12012465106173707,WT_DM
Creb5,30,0.05110732538330494,5,0.008517887563884156,25,0.04258943781942078,1515.0,0.2130330932854422,WT_DM
Nfib,30,0.05110732538330494,13,0.022146507666098807,17,0.028960817717206135,2116.0,0.3400985513469323,WT_DM
Bcl11a,28,0.04770017035775128,4,0.0068143100511073255,24,0.04088586030664395,566.0,0.20545545058475417,WT_DM
Pgr,27,0.04599659284497445,1,0.0017035775127768314,26,0.044293015332197615,18.0,0.07069458325172254,WT_DM
Etv6,27,0.04599659284497445,4,0.0068143100511073255,23,0.039182282793867124,398.0,0.1921544924369261,WT_DM
Rora,27,0.04599659284497445,9,0.015332197614991482,18,0.030664395229982964,919.0,0.1748460755575232,WT_DM
Foxn3,27,0.04599659284497445,5,0.008517887563884156,22,0.03747870528109029,1186.0,0.13044057776406737,WT_DM
Zbtb7c,26,0.044293015332197615,0,0.0,26,0.044293015332197615,0.0,0.2073221418156434,WT_DM
Runx1,26,0.044293015332197615,3,0.005110732538330494,23,0.039182282793867124,487.0,0.17367577720441146,WT_DM
Tcf4,26,0.044293015332197615,5,0.008517887563884156,21,0.03577512776831346,544.0,0.1699647438385845,WT_DM
Bach2,25,0.04258943781942078,7,0.01192504258943782,18,0.030664395229982964,2223.0,0.19229706656987075,WT_DM
Nfia,25,0.04258943781942078,5,0.008517887563884156,20,0.034071550255536626,1599.0,0.16280727809259152,WT_DM
Bcl11b,24,0.04088586030664395,8,0.013628620102214651,16,0.027257240204429302,892.0,0.4489809117709713,WT_DM
Esrrg,23,0.039182282793867124,7,0.01192504258943782,16,0.027257240204429302,658.0,0.1769336245376791,WT_DM
Mybl1,22,0.03747870528109029,1,0.0017035775127768314,21,0.03577512776831346,555.0,0.055984314386594375,WT_DM
Hivep2,21,0.03577512776831346,7,0.01192504258943782,14,0.02385008517887564,1137.0,0.16895800174101816,WT_DM
Nr3c2,21,0.03577512776831346,1,0.0017035775127768314,20,0.034071550255536626,32.0,0.062240662554423225,WT_DM
Lef1,20,0.034071550255536626,10,0.017035775127768313,10,0.017035775127768313,671.0,0.21498707480741225,WT_DM
Maf,20,0.034071550255536626,0,0.0,20,0.034071550255536626,0.0,0.14108942322577314,WT_DM
Ar,20,0.034071550255536626,0,0.0,20,0.034071550255536626,0.0,0.03161311534445941,WT_DM
Irx4,19,0.03236797274275979,0,0.0,19,0.03236797274275979,0.0,0.04711367837013876,WT_DM
Jdp2,19,0.03236797274275979,0,0.0,19,0.03236797274275979,0.0,0.07244830143705934,WT_DM
Esr1,19,0.03236797274275979,1,0.0017035775127768314,18,0.030664395229982964,76.0,0.07119732272953673,WT_DM
Nfatc2,19,0.03236797274275979,0,0.0,19,0.03236797274275979,0.0,0.1369367659070314,WT_DM
Bcl3,18,0.030664395229982964,0,0.0,18,0.030664395229982964,0.0,0.040266441236579055,WT_DM
Tbx21,18,0.030664395229982964,0,0.0,18,0.030664395229982964,0.0,0.10545746770263677,WT_DM
Prdm1,17,0.028960817717206135,0,0.0,17,0.028960817717206135,0.0,0.08942974362393487,WT_DM
Pura,17,0.028960817717206135,0,0.0,17,0.028960817717206135,0.0,0.06673988405863035,WT_DM
Irf8,17,0.028960817717206135,0,0.0,17,0.028960817717206135,0.0,0.12055120314180841,WT_DM
Kcnq5,17,0.028960817717206135,17,0.028960817717206135,0,0.0,0.0,0.31717224119437276,WT_DM
Pbx1,17,0.028960817717206135,9,0.015332197614991482,8,0.013628620102214651,4468.0,0.2766802164078003,WT_DM
Fosl2,17,0.028960817717206135,0,0.0,17,0.028960817717206135,0.0,0.04991593658008393,WT_DM
Foxa1,17,0.028960817717206135,0,0.0,17,0.028960817717206135,0.0,0.09381016306290095,WT_DM
Trps1,16,0.027257240204429302,16,0.027257240204429302,0,0.0,0.0,0.3152416705824426,WT_DM
Mnt,15,0.02555366269165247,0,0.0,15,0.02555366269165247,0.0,0.057115792436023,WT_DM
Elf4,15,0.02555366269165247,1,0.0017035775127768314,14,0.02385008517887564,318.0,0.06392035476785969,WT_DM
Ebf3,14,0.02385008517887564,0,0.0,14,0.02385008517887564,0.0,0.06834003479674065,WT_DM
Ikzf1,14,0.02385008517887564,9,0.015332197614991482,5,0.008517887563884156,135.0,0.14589823672103278,WT_DM
Dock2,14,0.02385008517887564,14,0.02385008517887564,0,0.0,0.0,0.25782019191530625,WT_DM
Runx3,14,0.02385008517887564,1,0.0017035775127768314,13,0.022146507666098807,17.0,0.09868272731826361,WT_DM
Slc28a3,14,0.02385008517887564,14,0.02385008517887564,0,0.0,0.0,0.2606600823838494,WT_DM
Erbb4,14,0.02385008517887564,14,0.02385008517887564,0,0.0,0.0,0.23536245567429084,WT_DM
Thsd4,13,0.022146507666098807,13,0.022146507666098807,0,0.0,0.0,0.15232896983301109,WT_DM
Nr4a3,13,0.022146507666098807,0,0.0,13,0.022146507666098807,0.0,0.04994058110124812,WT_DM
Glis3,13,0.022146507666098807,0,0.0,13,0.022146507666098807,0.0,0.11603722412494952,WT_DM
D17H6S56E-5,13,0.022146507666098807,13,0.022146507666098807,0,0.0,0.0,0.19189870488423263,WT_DM
Arhgap15,13,0.022146507666098807,13,0.022146507666098807,0,0.0,0.0,0.3780053703607801,WT_DM
Cacna2d1,12,0.020442930153321975,12,0.020442930153321975,0,0.0,0.0,0.17361266680109402,WT_DM
Kit,12,0.020442930153321975,12,0.020442930153321975,0,0.0,0.0,0.21318155342387357,WT_DM
Sdk1,12,0.020442930153321975,12,0.020442930153321975,0,0.0,0.0,0.12059859008787073,WT_DM
Rbpms,12,0.020442930153321975,12,0.020442930153321975,0,0.0,0.0,0.0981527569590106,WT_DM
Myb,12,0.020442930153321975,0,0.0,12,0.020442930153321975,0.0,0.04924773120881082,WT_DM
Arnt2,12,0.020442930153321975,0,0.0,12,0.020442930153321975,0.0,0.028783837862184334,WT_DM
BC006965,12,0.020442930153321975,12,0.020442930153321975,0,0.0,0.0,0.18423053650376878,WT_DM
Myh11,11,0.018739352640545145,11,0.018739352640545145,0,0.0,0.0,0.19379627483418393,WT_DM
Epcam,11,0.018739352640545145,11,0.018739352640545145,0,0.0,0.0,0.23024376762231022,WT_DM
