,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
E2f7,174,0.31868131868131866,1,0.0018315018315018315,173,0.31684981684981683,152.0,0.8236820619228632,WT_DM
Ets1,128,0.23443223443223443,3,0.005494505494505495,125,0.22893772893772893,5154.0,0.5761368011799004,WT_DM
Creb5,98,0.1794871794871795,7,0.01282051282051282,91,0.16666666666666666,2065.0,0.9702901547550193,WT_DM
Mbd1,98,0.1794871794871795,0,0.0,98,0.1794871794871795,0.0,0.3638915835175173,WT_DM
Irf4,90,0.16483516483516483,1,0.0018315018315018315,89,0.163003663003663,65.0,1.0,WT_DM
Zeb1,85,0.15567765567765568,9,0.016483516483516484,76,0.1391941391941392,6717.0,0.397884220781415,WT_DM
Tcf7l2,83,0.152014652014652,5,0.009157509157509158,78,0.14285714285714285,1894.0,0.4351048474077939,WT_DM
Pax5,81,0.14835164835164835,3,0.005494505494505495,78,0.14285714285714285,1965.0,0.2876694914572674,WT_DM
Fli1,80,0.14652014652014653,2,0.003663003663003663,78,0.14285714285714285,508.0,0.3223339697092935,WT_DM
Runx2,79,0.1446886446886447,8,0.014652014652014652,71,0.13003663003663005,7874.0,0.3933474081281814,WT_DM
Mef2c,66,0.12087912087912088,3,0.005494505494505495,63,0.11538461538461539,909.0,0.3424651335170597,WT_DM
Ebf3,62,0.11355311355311355,4,0.007326007326007326,58,0.10622710622710622,782.0,0.33968142490257663,WT_DM
Ebf1,60,0.10989010989010989,1,0.0018315018315018315,59,0.10805860805860806,902.0,0.28208561191122705,WT_DM
Tcf4,58,0.10622710622710622,11,0.020146520146520148,47,0.08608058608058608,5891.0,0.4325158866805716,WT_DM
Mitf,55,0.10073260073260074,11,0.020146520146520148,44,0.08058608058608059,2096.0,0.34742281106694184,WT_DM
Klf4,55,0.10073260073260074,2,0.003663003663003663,53,0.09706959706959707,213.0,0.37336818147497686,WT_DM
Foxj3,45,0.08241758241758242,1,0.0018315018315018315,44,0.08058608058608059,1344.0,0.19034781481674778,WT_DM
Pbx3,44,0.08058608058608059,0,0.0,44,0.08058608058608059,0.0,0.15766759547446874,WT_DM
Nfia,43,0.07875457875457875,5,0.009157509157509158,38,0.0695970695970696,2138.0,0.19958501754780814,WT_DM
Gata3,42,0.07692307692307693,0,0.0,42,0.07692307692307693,0.0,0.07929924608167348,WT_DM
Runx1,41,0.07509157509157509,4,0.007326007326007326,37,0.06776556776556776,817.0,0.14984490175344847,WT_DM
Cebpb,36,0.06593406593406594,0,0.0,36,0.06593406593406594,0.0,0.1337313512004325,WT_DM
Zbtb16,34,0.06227106227106227,14,0.02564102564102564,20,0.03663003663003663,4188.0,0.22944741033325083,WT_DM
Pax1,33,0.06043956043956044,0,0.0,33,0.06043956043956044,0.0,0.14617559506969122,WT_DM
Esrrg,33,0.06043956043956044,1,0.0018315018315018315,32,0.05860805860805861,48.0,0.0954928513619743,WT_DM
