,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Stat1,135,0.25616698292220114,12,0.022770398481973434,123,0.2333965844402277,5429.0,0.6184605957381932,WT_DM
Maf,109,0.20683111954459202,11,0.020872865275142316,98,0.1859582542694497,3001.0,1.0,WT_DM
Bcl11a,103,0.1954459203036053,5,0.009487666034155597,98,0.1859582542694497,2487.0,0.7777177564723627,WT_DM
Tcf7l2,88,0.16698292220113853,8,0.015180265654648957,80,0.15180265654648956,3238.0,0.5074609334518992,WT_DM
Irf8,68,0.12903225806451613,9,0.017077798861480076,59,0.11195445920303605,2812.0,0.4899036819154417,WT_DM
Runx3,67,0.127134724857685,4,0.007590132827324478,63,0.11954459203036052,3093.0,0.5468550465709325,WT_DM
Klf2,65,0.12333965844402277,0,0.0,65,0.12333965844402277,0.0,0.4528073580063617,WT_DM
Nfatc2,56,0.1062618595825427,8,0.015180265654648957,48,0.09108159392789374,4097.0,0.4180489948730087,WT_DM
Etv5,52,0.09867172675521822,1,0.0018975332068311196,51,0.0967741935483871,390.0,0.25521971199333465,WT_DM
Hdac2,49,0.09297912713472485,0,0.0,49,0.09297912713472485,0.0,0.2433415697108774,WT_DM
Rbpj,49,0.09297912713472485,19,0.036053130929791274,30,0.056925996204933584,2299.0,0.5821846344039747,WT_DM
Runx2,49,0.09297912713472485,3,0.0056925996204933585,46,0.0872865275142315,862.0,0.4802759858887463,WT_DM
Pou2f2,46,0.0872865275142315,1,0.0018975332068311196,45,0.08538899430740038,164.0,0.20897013516536256,WT_DM
Bhlhe40,45,0.08538899430740038,0,0.0,45,0.08538899430740038,0.0,0.1995907178928737,WT_DM
Tcf4,42,0.07969639468690702,14,0.026565464895635674,28,0.05313092979127135,1912.0,0.40820099291067247,WT_DM
Hivep2,41,0.0777988614800759,13,0.024667931688804556,28,0.05313092979127135,3253.0,0.22133264453851353,WT_DM
Etv6,40,0.07590132827324478,10,0.018975332068311195,30,0.056925996204933584,1292.0,0.3934661044392185,WT_DM
Thrb,40,0.07590132827324478,4,0.007590132827324478,36,0.0683111954459203,610.0,0.2306080083016314,WT_DM
Zfp3,39,0.07400379506641366,0,0.0,39,0.07400379506641366,0.0,0.1274702661870139,WT_DM
Mitf,39,0.07400379506641366,10,0.018975332068311195,29,0.05502846299810247,571.0,0.2761747476442583,WT_DM
Jdp2,37,0.07020872865275142,2,0.003795066413662239,35,0.06641366223908918,1202.0,0.19766653952639238,WT_DM
Egr1,36,0.0683111954459203,0,0.0,36,0.0683111954459203,0.0,0.16799782949650674,WT_DM
Cebpb,35,0.06641366223908918,0,0.0,35,0.06641366223908918,0.0,0.11874619573932739,WT_DM
Klf4,35,0.06641366223908918,0,0.0,35,0.06641366223908918,0.0,0.10271219733622279,WT_DM
Lyl1,34,0.06451612903225806,0,0.0,34,0.06451612903225806,0.0,0.13692740535471676,WT_DM
Rfx3,32,0.06072106261859583,2,0.003795066413662239,30,0.056925996204933584,496.0,0.19952459054249647,WT_DM
Zbtb14,31,0.058823529411764705,0,0.0,31,0.058823529411764705,0.0,0.17792412322730491,WT_DM
Nr3c2,31,0.058823529411764705,1,0.0018975332068311196,30,0.056925996204933584,412.0,0.175475001971991,WT_DM
Runx1,31,0.058823529411764705,7,0.013282732447817837,24,0.04554079696394687,1434.0,0.2487798832455445,WT_DM
Ccnt2,30,0.056925996204933584,1,0.0018975332068311196,29,0.05502846299810247,889.0,0.15702017857307574,WT_DM
E2f4,29,0.05502846299810247,0,0.0,29,0.05502846299810247,0.0,0.09860118552519007,WT_DM
Pbx1,28,0.05313092979127135,7,0.013282732447817837,21,0.03984819734345351,381.0,0.18338907880585112,WT_DM
Npas3,27,0.051233396584440226,1,0.0018975332068311196,26,0.04933586337760911,19.0,0.0373147792625522,WT_DM
Gata3,26,0.04933586337760911,0,0.0,26,0.04933586337760911,0.0,0.09342837277098515,WT_DM
Hinfp,25,0.04743833017077799,0,0.0,25,0.04743833017077799,0.0,0.15566193949704274,WT_DM
Spic,24,0.04554079696394687,0,0.0,24,0.04554079696394687,0.0,0.10986725789265736,WT_DM
Mxi1,23,0.04364326375711575,0,0.0,23,0.04364326375711575,0.0,0.11482851944885863,WT_DM
Foxp1,23,0.04364326375711575,8,0.015180265654648957,15,0.028462998102466792,1002.0,0.23712786320762008,WT_DM
Mbtps2,23,0.04364326375711575,0,0.0,23,0.04364326375711575,0.0,0.1251469615083929,WT_DM
Batf3,22,0.04174573055028463,1,0.0018975332068311196,21,0.03984819734345351,21.0,0.06709601918553192,WT_DM
Esr1,21,0.03984819734345351,1,0.0018975332068311196,20,0.03795066413662239,12.0,0.07592653571236692,WT_DM
Ebf1,18,0.03415559772296015,1,0.0018975332068311196,17,0.03225806451612903,109.0,0.0943231351153345,WT_DM
Trerf1,17,0.03225806451612903,17,0.03225806451612903,0,0.0,0.0,0.13792561027157088,WT_DM
Zeb2,17,0.03225806451612903,17,0.03225806451612903,0,0.0,0.0,0.15271325587092865,WT_DM
Zbtb7c,17,0.03225806451612903,0,0.0,17,0.03225806451612903,0.0,0.0666559488717321,WT_DM
Apobec1,17,0.03225806451612903,17,0.03225806451612903,0,0.0,0.0,0.12354916735803469,WT_DM
Tfec,16,0.030360531309297913,0,0.0,16,0.030360531309297913,0.0,0.06651193044023622,WT_DM
