,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Prdm16,96,0.16243654822335024,3,0.005076142131979695,93,0.15736040609137056,1973.0,0.9999999999999999,KO_DM
Hey2,92,0.155668358714044,2,0.00338409475465313,90,0.15228426395939088,3890.0,0.6722969051879509,KO_DM
Ebf1,91,0.15397631133671744,9,0.015228426395939087,82,0.13874788494077833,1864.0,0.46659296401961964,KO_DM
Prdm1,87,0.14720812182741116,0,0.0,87,0.14720812182741116,0.0,0.28810137761278587,KO_DM
Mef2c,73,0.12351945854483926,9,0.015228426395939087,64,0.10829103214890017,3478.0,0.42454941149344666,KO_DM
Klf13,68,0.11505922165820642,2,0.00338409475465313,66,0.1116751269035533,324.0,0.27958796492123716,KO_DM
E2f4,66,0.1116751269035533,1,0.001692047377326565,65,0.10998307952622674,140.0,0.19547702391839233,KO_DM
Klf8,63,0.1065989847715736,0,0.0,63,0.1065989847715736,0.0,0.28899936297947204,KO_DM
Klf3,62,0.10490693739424704,0,0.0,62,0.10490693739424704,0.0,0.15224046968321586,KO_DM
Zbtb7a,60,0.10152284263959391,0,0.0,60,0.10152284263959391,0.0,0.2390412738320815,KO_DM
Erf,57,0.09644670050761421,0,0.0,57,0.09644670050761421,0.0,0.2703811140854062,KO_DM
Rad21,56,0.09475465313028765,1,0.001692047377326565,55,0.09306260575296109,138.0,0.23084317064039142,KO_DM
Pparg,52,0.08798646362098139,8,0.01353637901861252,44,0.07445008460236886,1205.0,0.30592817687109847,KO_DM
Srf,50,0.08460236886632826,0,0.0,50,0.08460236886632826,0.0,0.1474199927406194,KO_DM
Zfp3,48,0.08121827411167512,0,0.0,48,0.08121827411167512,0.0,0.25774658059294114,KO_DM
Tcf4,48,0.08121827411167512,9,0.015228426395939087,39,0.06598984771573604,2099.0,0.42191695727200207,KO_DM
Fli1,47,0.07952622673434856,3,0.005076142131979695,44,0.07445008460236886,939.0,0.2490221404214852,KO_DM
Smad1,45,0.07614213197969544,0,0.0,45,0.07614213197969544,0.0,0.17895682129768614,KO_DM
Xbp1,44,0.07445008460236886,0,0.0,44,0.07445008460236886,0.0,0.23451290814778897,KO_DM
Zbtb33,43,0.0727580372250423,0,0.0,43,0.0727580372250423,0.0,0.18637925042095588,KO_DM
Zscan22,42,0.07106598984771574,0,0.0,42,0.07106598984771574,0.0,0.15516604390479866,KO_DM
Rora,41,0.06937394247038917,10,0.01692047377326565,31,0.05245346869712352,3219.0,0.3770701948957524,KO_DM
Pura,38,0.06429780033840947,0,0.0,38,0.06429780033840947,0.0,0.20162732230217445,KO_DM
Creb5,35,0.05922165820642978,6,0.01015228426395939,29,0.049069373942470386,1897.0,0.15253619891451747,KO_DM
Esr1,33,0.05583756345177665,2,0.00338409475465313,31,0.05245346869712352,558.0,0.11243109240708181,KO_DM
Prdm11,33,0.05583756345177665,0,0.0,33,0.05583756345177665,0.0,0.17703764700573485,KO_DM
Nfatc1,32,0.05414551607445008,0,0.0,32,0.05414551607445008,0.0,0.16057080962437056,KO_DM
Npas3,30,0.050761421319796954,2,0.00338409475465313,28,0.047377326565143825,63.0,0.06463095345591326,KO_DM
Vdr,29,0.049069373942470386,1,0.001692047377326565,28,0.047377326565143825,296.0,0.09970111837866301,KO_DM
Zbtb16,27,0.04568527918781726,12,0.02030456852791878,15,0.025380710659898477,2153.0,0.37543782271059994,KO_DM
Nfe2l2,26,0.043993231810490696,3,0.005076142131979695,23,0.038917089678511,465.0,0.0695447311516109,KO_DM
Bach2,26,0.043993231810490696,1,0.001692047377326565,25,0.04230118443316413,299.0,0.08406636830826124,KO_DM
Atf1,26,0.043993231810490696,0,0.0,26,0.043993231810490696,0.0,0.15151879340964558,KO_DM
Ctnna3,25,0.04230118443316413,25,0.04230118443316413,0,0.0,0.0,0.3597550500074776,KO_DM
Prrx1,23,0.038917089678511,6,0.01015228426395939,17,0.028764805414551606,109.0,0.12864923793300612,KO_DM
Nfix,23,0.038917089678511,1,0.001692047377326565,22,0.03722504230118443,131.0,0.044169955830323085,KO_DM
Tcf7l1,23,0.038917089678511,9,0.015228426395939087,14,0.023688663282571912,537.0,0.28160464199994545,KO_DM
Cebpz,22,0.03722504230118443,1,0.001692047377326565,21,0.03553299492385787,355.0,0.10871198994055377,KO_DM
Zbtb17,21,0.03553299492385787,0,0.0,21,0.03553299492385787,0.0,0.06836099462284957,KO_DM
Cacnb2,19,0.032148900169204735,19,0.032148900169204735,0,0.0,0.0,0.18782525375776116,KO_DM
Nfatc3,19,0.032148900169204735,0,0.0,19,0.032148900169204735,0.0,0.08659081290065744,KO_DM
Foxp1,18,0.030456852791878174,8,0.01353637901861252,10,0.01692047377326565,193.0,0.12647108735811963,KO_DM
Inpp4b,17,0.028764805414551606,17,0.028764805414551606,0,0.0,0.0,0.1742664318710903,KO_DM
Sox6,17,0.028764805414551606,12,0.02030456852791878,5,0.008460236886632826,63.0,0.2795041324250239,KO_DM
Gata3,17,0.028764805414551606,0,0.0,17,0.028764805414551606,0.0,0.10529731348393624,KO_DM
Hivep3,17,0.028764805414551606,0,0.0,17,0.028764805414551606,0.0,0.06150418211969432,KO_DM
Kcnab1,16,0.02707275803722504,16,0.02707275803722504,0,0.0,0.0,0.2674957670369044,KO_DM
Lin7a,16,0.02707275803722504,16,0.02707275803722504,0,0.0,0.0,0.19588685587259816,KO_DM
Runx1,16,0.02707275803722504,1,0.001692047377326565,15,0.025380710659898477,33.0,0.11028249504455925,KO_DM
Meis1,16,0.02707275803722504,1,0.001692047377326565,15,0.025380710659898477,60.0,0.10104370138048323,KO_DM
Nfat5,16,0.02707275803722504,8,0.01353637901861252,8,0.01353637901861252,128.0,0.07207737289153432,KO_DM
Pknox1,15,0.025380710659898477,0,0.0,15,0.025380710659898477,0.0,0.07386938694064696,KO_DM
Foxp2,15,0.025380710659898477,0,0.0,15,0.025380710659898477,0.0,0.07101468917720065,KO_DM
Myh11,15,0.025380710659898477,15,0.025380710659898477,0,0.0,0.0,0.15771279588531206,KO_DM
Tpm1,15,0.025380710659898477,15,0.025380710659898477,0,0.0,0.0,0.2187002152105221,KO_DM
Eps8,15,0.025380710659898477,15,0.025380710659898477,0,0.0,0.0,0.1795763847958243,KO_DM
Psd3,15,0.025380710659898477,15,0.025380710659898477,0,0.0,0.0,0.29174322584504075,KO_DM
Ntrk3,14,0.023688663282571912,14,0.023688663282571912,0,0.0,0.0,0.2675266160229387,KO_DM
Myo1b,14,0.023688663282571912,14,0.023688663282571912,0,0.0,0.0,0.1576684490484717,KO_DM
Dlc1,14,0.023688663282571912,14,0.023688663282571912,0,0.0,0.0,0.16762719447250607,KO_DM
Csmd1,14,0.023688663282571912,14,0.023688663282571912,0,0.0,0.0,0.15328117432123267,KO_DM
Crim1,14,0.023688663282571912,14,0.023688663282571912,0,0.0,0.0,0.12521692023299763,KO_DM
Abcc9,14,0.023688663282571912,14,0.023688663282571912,0,0.0,0.0,0.3261460905391734,KO_DM
Zfp784,13,0.021996615905245348,1,0.001692047377326565,12,0.02030456852791878,228.0,0.021707776179366756,KO_DM
Dmd,13,0.021996615905245348,13,0.021996615905245348,0,0.0,0.0,0.2633947896982312,KO_DM
Flna,13,0.021996615905245348,13,0.021996615905245348,0,0.0,0.0,0.17188854236387177,KO_DM
Cux2,13,0.021996615905245348,0,0.0,13,0.021996615905245348,0.0,0.04128063830674844,KO_DM
Ralgapa2,13,0.021996615905245348,13,0.021996615905245348,0,0.0,0.0,0.1271329975800172,KO_DM
Meg3,12,0.02030456852791878,12,0.02030456852791878,0,0.0,0.0,0.19331155650595258,KO_DM
Pax5,12,0.02030456852791878,0,0.0,12,0.02030456852791878,0.0,0.030676699830591413,KO_DM
Hlf,12,0.02030456852791878,0,0.0,12,0.02030456852791878,0.0,0.04631320871969005,KO_DM
Smarca5,11,0.018612521150592216,2,0.00338409475465313,9,0.015228426395939087,592.0,0.04902741897248378,KO_DM
Pde8b,11,0.018612521150592216,11,0.018612521150592216,0,0.0,0.0,0.09156254230311024,KO_DM
Plcl1,11,0.018612521150592216,11,0.018612521150592216,0,0.0,0.0,0.12111585086578537,KO_DM
Sorbs2,11,0.018612521150592216,11,0.018612521150592216,0,0.0,0.0,0.21948555970371,KO_DM
Setbp1,11,0.018612521150592216,11,0.018612521150592216,0,0.0,0.0,0.07853050933716228,KO_DM
Ptprk,11,0.018612521150592216,11,0.018612521150592216,0,0.0,0.0,0.1573504946594397,KO_DM
