,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Mef2c,113,0.2144212523719165,10,0.018975332068311195,103,0.1954459203036053,5713.0,0.7637354544239884,BasalEpi_Acta2+Trp63
Ehf,112,0.2125237191650854,5,0.009487666034155597,107,0.2030360531309298,2669.0,1.0,BasalEpi_Acta2+Trp63
Tfap2b,99,0.18785578747628084,0,0.0,99,0.18785578747628084,0.0,0.5654367814353232,BasalEpi_Acta2+Trp63
Tcf7l2,98,0.1859582542694497,10,0.018975332068311195,88,0.16698292220113853,5102.0,0.8639742575833225,BasalEpi_Acta2+Trp63
Stat1,89,0.16888045540796964,1,0.0018975332068311196,88,0.16698292220113853,203.0,0.47617941274029785,BasalEpi_Acta2+Trp63
Elf5,87,0.1650853889943074,3,0.0056925996204933585,84,0.15939278937381404,417.0,0.9441936987532873,BasalEpi_Acta2+Trp63
Bcl11a,86,0.16318785578747627,4,0.007590132827324478,82,0.1555977229601518,3122.0,0.7079166755388155,BasalEpi_Acta2+Trp63
Klf12,79,0.14990512333965844,0,0.0,79,0.14990512333965844,0.0,0.4273858941173713,BasalEpi_Acta2+Trp63
Pbx3,78,0.14800759013282733,3,0.0056925996204933585,75,0.14231499051233396,1555.0,0.5473529416598386,BasalEpi_Acta2+Trp63
Trp63,78,0.14800759013282733,10,0.018975332068311195,68,0.12903225806451613,1450.0,0.5877659482270068,BasalEpi_Acta2+Trp63
Ets1,64,0.12144212523719165,8,0.015180265654648957,56,0.1062618595825427,2750.0,0.25667712977482326,BasalEpi_Acta2+Trp63
Fli1,51,0.0967741935483871,5,0.009487666034155597,46,0.0872865275142315,660.0,0.18445621734129422,BasalEpi_Acta2+Trp63
Npas3,49,0.09297912713472485,8,0.015180265654648957,41,0.0777988614800759,511.0,0.5393621530084832,BasalEpi_Acta2+Trp63
Creb5,49,0.09297912713472485,9,0.017077798861480076,40,0.07590132827324478,2560.0,0.25693503298194653,BasalEpi_Acta2+Trp63
Zeb1,46,0.0872865275142315,3,0.0056925996204933585,43,0.08159392789373814,643.0,0.1773539486978442,BasalEpi_Acta2+Trp63
Klf2,45,0.08538899430740038,0,0.0,45,0.08538899430740038,0.0,0.22349565744147346,BasalEpi_Acta2+Trp63
Foxn3,38,0.07210626185958255,6,0.011385199240986717,32,0.06072106261859583,798.0,0.234123851009022,BasalEpi_Acta2+Trp63
Pax5,37,0.07020872865275142,4,0.007590132827324478,33,0.06261859582542695,3513.0,0.2143932352593954,BasalEpi_Acta2+Trp63
Ebf1,36,0.0683111954459203,7,0.013282732447817837,29,0.05502846299810247,1164.0,0.17490017741067543,BasalEpi_Acta2+Trp63
Nfib,35,0.06641366223908918,7,0.013282732447817837,28,0.05313092979127135,351.0,0.3172038680950895,BasalEpi_Acta2+Trp63
Hey2,34,0.06451612903225806,0,0.0,34,0.06451612903225806,0.0,0.2833492046173845,BasalEpi_Acta2+Trp63
Tcf4,34,0.06451612903225806,8,0.015180265654648957,26,0.04933586337760911,1290.0,0.2540955034746985,BasalEpi_Acta2+Trp63
Sp4,30,0.056925996204933584,0,0.0,30,0.056925996204933584,0.0,0.16224291007779584,BasalEpi_Acta2+Trp63
Bcl11b,30,0.056925996204933584,7,0.013282732447817837,23,0.04364326375711575,2331.0,0.14594378804592203,BasalEpi_Acta2+Trp63
Tfcp2l1,29,0.05502846299810247,0,0.0,29,0.05502846299810247,0.0,0.22622236301988655,BasalEpi_Acta2+Trp63
Rora,28,0.05313092979127135,5,0.009487666034155597,23,0.04364326375711575,152.0,0.2374806603333707,BasalEpi_Acta2+Trp63
Mbd1,28,0.05313092979127135,0,0.0,28,0.05313092979127135,0.0,0.11240832226604988,BasalEpi_Acta2+Trp63
Zbtb7c,28,0.05313092979127135,2,0.003795066413662239,26,0.04933586337760911,236.0,0.2365540758995981,BasalEpi_Acta2+Trp63
Nfia,25,0.04743833017077799,4,0.007590132827324478,21,0.03984819734345351,270.0,0.14149841835318927,BasalEpi_Acta2+Trp63
Runx3,23,0.04364326375711575,0,0.0,23,0.04364326375711575,0.0,0.057716494899166325,BasalEpi_Acta2+Trp63
Maf,23,0.04364326375711575,0,0.0,23,0.04364326375711575,0.0,0.0972017903582473,BasalEpi_Acta2+Trp63
Pbx1,22,0.04174573055028463,6,0.011385199240986717,16,0.030360531309297913,2405.0,0.25971146455954636,BasalEpi_Acta2+Trp63
Ikzf1,21,0.03984819734345351,6,0.011385199240986717,15,0.028462998102466792,349.0,0.10306465546079083,BasalEpi_Acta2+Trp63
Ahr,21,0.03984819734345351,0,0.0,21,0.03984819734345351,0.0,0.17660735874413294,BasalEpi_Acta2+Trp63
Pou2f2,20,0.03795066413662239,0,0.0,20,0.03795066413662239,0.0,0.12223125417193428,BasalEpi_Acta2+Trp63
Kcnq5,20,0.03795066413662239,20,0.03795066413662239,0,0.0,0.0,0.30654435250609346,BasalEpi_Acta2+Trp63
Tal1,19,0.036053130929791274,0,0.0,19,0.036053130929791274,0.0,0.1256985734354537,BasalEpi_Acta2+Trp63
Fhod3,18,0.03415559772296015,18,0.03415559772296015,0,0.0,0.0,0.31114777664899046,BasalEpi_Acta2+Trp63
Myh11,16,0.030360531309297913,16,0.030360531309297913,0,0.0,0.0,0.3501206605972422,BasalEpi_Acta2+Trp63
Erbb4,15,0.028462998102466792,15,0.028462998102466792,0,0.0,0.0,0.34111708539318786,BasalEpi_Acta2+Trp63
Acta2,15,0.028462998102466792,15,0.028462998102466792,0,0.0,0.0,0.26598063572266184,BasalEpi_Acta2+Trp63
Wnt5b,15,0.028462998102466792,15,0.028462998102466792,0,0.0,0.0,0.2091489484244729,BasalEpi_Acta2+Trp63
Fosl2,15,0.028462998102466792,0,0.0,15,0.028462998102466792,0.0,0.0651728157510791,BasalEpi_Acta2+Trp63
Rbpj,14,0.026565464895635674,2,0.003795066413662239,12,0.022770398481973434,19.0,0.06224375013577224,BasalEpi_Acta2+Trp63
Lars2,14,0.026565464895635674,14,0.026565464895635674,0,0.0,0.0,0.0813320287132293,BasalEpi_Acta2+Trp63
Lef1,14,0.026565464895635674,5,0.009487666034155597,9,0.017077798861480076,101.0,0.0971060068404085,BasalEpi_Acta2+Trp63
Mafb,14,0.026565464895635674,0,0.0,14,0.026565464895635674,0.0,0.09638284715946563,BasalEpi_Acta2+Trp63
Xkr4,14,0.026565464895635674,14,0.026565464895635674,0,0.0,0.0,0.22185520957986016,BasalEpi_Acta2+Trp63
Sdk1,14,0.026565464895635674,14,0.026565464895635674,0,0.0,0.0,0.32158083691286227,BasalEpi_Acta2+Trp63
Klf8,13,0.024667931688804556,0,0.0,13,0.024667931688804556,0.0,0.06489247919301698,BasalEpi_Acta2+Trp63
Stat4,13,0.024667931688804556,1,0.0018975332068311196,12,0.022770398481973434,7.0,0.013536515536145814,BasalEpi_Acta2+Trp63
Eln,13,0.024667931688804556,13,0.024667931688804556,0,0.0,0.0,0.16245365878572315,BasalEpi_Acta2+Trp63
Bach2,13,0.024667931688804556,6,0.011385199240986717,7,0.013282732447817837,1992.0,0.10925091278173749,BasalEpi_Acta2+Trp63
Lyl1,13,0.024667931688804556,0,0.0,13,0.024667931688804556,0.0,0.051707044073173676,BasalEpi_Acta2+Trp63
Rbpms,12,0.022770398481973434,12,0.022770398481973434,0,0.0,0.0,0.29268781905082053,BasalEpi_Acta2+Trp63
Cacna2d1,12,0.022770398481973434,12,0.022770398481973434,0,0.0,0.0,0.18640428700378026,BasalEpi_Acta2+Trp63
Nfatc1,12,0.022770398481973434,0,0.0,12,0.022770398481973434,0.0,0.0651033743412143,BasalEpi_Acta2+Trp63
Prkg1,12,0.022770398481973434,12,0.022770398481973434,0,0.0,0.0,0.1755205079250759,BasalEpi_Acta2+Trp63
Grik3,12,0.022770398481973434,12,0.022770398481973434,0,0.0,0.0,0.15799057423044485,BasalEpi_Acta2+Trp63
Kazn,12,0.022770398481973434,12,0.022770398481973434,0,0.0,0.0,0.21955144494264203,BasalEpi_Acta2+Trp63
Efna5,12,0.022770398481973434,12,0.022770398481973434,0,0.0,0.0,0.17256858957306953,BasalEpi_Acta2+Trp63
Ankrd44,12,0.022770398481973434,12,0.022770398481973434,0,0.0,0.0,0.182948973417874,BasalEpi_Acta2+Trp63
Ptprm,12,0.022770398481973434,12,0.022770398481973434,0,0.0,0.0,0.12201573664215468,BasalEpi_Acta2+Trp63
Hoxd3,11,0.020872865275142316,0,0.0,11,0.020872865275142316,0.0,0.024805122514089645,BasalEpi_Acta2+Trp63
Jdp2,11,0.020872865275142316,0,0.0,11,0.020872865275142316,0.0,0.05561214436688777,BasalEpi_Acta2+Trp63
Thsd4,11,0.020872865275142316,11,0.020872865275142316,0,0.0,0.0,0.3218109125698647,BasalEpi_Acta2+Trp63
Cald1,11,0.020872865275142316,11,0.020872865275142316,0,0.0,0.0,0.23298743947971876,BasalEpi_Acta2+Trp63
Ntng1,11,0.020872865275142316,11,0.020872865275142316,0,0.0,0.0,0.18257697557532845,BasalEpi_Acta2+Trp63
Irf8,11,0.020872865275142316,0,0.0,11,0.020872865275142316,0.0,0.08537385710132593,BasalEpi_Acta2+Trp63
Kcnd2,11,0.020872865275142316,11,0.020872865275142316,0,0.0,0.0,0.22552237126055732,BasalEpi_Acta2+Trp63
Ntn4,11,0.020872865275142316,11,0.020872865275142316,0,0.0,0.0,0.14141225352182957,BasalEpi_Acta2+Trp63
Adamts18,11,0.020872865275142316,11,0.020872865275142316,0,0.0,0.0,0.19097899292011694,BasalEpi_Acta2+Trp63
Mitf,11,0.020872865275142316,2,0.003795066413662239,9,0.017077798861480076,18.0,0.017690590870072177,BasalEpi_Acta2+Trp63
Gpc6,11,0.020872865275142316,11,0.020872865275142316,0,0.0,0.0,0.16056211823892888,BasalEpi_Acta2+Trp63
Kit,11,0.020872865275142316,11,0.020872865275142316,0,0.0,0.0,0.2803576061304894,BasalEpi_Acta2+Trp63
Pde4d,11,0.020872865275142316,11,0.020872865275142316,0,0.0,0.0,0.21209910820921865,BasalEpi_Acta2+Trp63
Prdm16,10,0.018975332068311195,0,0.0,10,0.018975332068311195,0.0,0.05471367663073601,BasalEpi_Acta2+Trp63
Csmd1,10,0.018975332068311195,10,0.018975332068311195,0,0.0,0.0,0.11219462281590441,BasalEpi_Acta2+Trp63
Mast4,10,0.018975332068311195,10,0.018975332068311195,0,0.0,0.0,0.17270252404050435,BasalEpi_Acta2+Trp63
Pdlim3,10,0.018975332068311195,10,0.018975332068311195,0,0.0,0.0,0.10575787648527427,BasalEpi_Acta2+Trp63
