,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Ets1,113,0.19929453262786595,5,0.008818342151675485,108,0.19047619047619047,1203.0,0.9999999999999999,Bcells
Stat1,100,0.1763668430335097,5,0.008818342151675485,95,0.1675485008818342,2945.0,0.6319777881897376,Bcells
Zeb1,79,0.13932980599647266,4,0.007054673721340388,75,0.13227513227513227,1488.0,0.6423469548089914,Bcells
Tcf7l2,79,0.13932980599647266,15,0.026455026455026454,64,0.1128747795414462,3714.0,0.2723327525269273,Bcells
Pax5,76,0.13403880070546736,5,0.008818342151675485,71,0.12522045855379188,1072.0,0.3462574541391852,Bcells
Fli1,75,0.13227513227513227,7,0.012345679012345678,68,0.11992945326278659,5862.0,0.5700678389628786,Bcells
Tfap2b,70,0.12345679012345678,0,0.0,70,0.12345679012345678,0.0,0.12173730747921296,Bcells
Ebf1,60,0.10582010582010581,13,0.02292768959435626,47,0.08289241622574955,5420.0,0.3249358472647712,Bcells
Klf12,59,0.10405643738977072,0,0.0,59,0.10405643738977072,0.0,0.1627726785368582,Bcells
Mef2c,59,0.10405643738977072,9,0.015873015873015872,50,0.08818342151675485,7160.0,0.4140539185273275,Bcells
Bcl11a,57,0.10052910052910052,3,0.005291005291005291,54,0.09523809523809523,1004.0,0.21342384032438347,Bcells
Bcl11b,46,0.08112874779541446,7,0.012345679012345678,39,0.06878306878306878,3064.0,0.47370984914375386,Bcells
Npas3,43,0.07583774250440917,9,0.015873015873015872,34,0.059964726631393295,1485.0,0.15759033020727684,Bcells
Ehf,43,0.07583774250440917,6,0.010582010582010581,37,0.06525573192239859,3592.0,0.11323179178129214,Bcells
Zbtb7c,42,0.07407407407407407,1,0.001763668430335097,41,0.07231040564373897,794.0,0.059470140949573765,Bcells
Nfib,39,0.06878306878306878,9,0.015873015873015872,30,0.05291005291005291,384.0,0.10954440414865696,Bcells
Glis3,39,0.06878306878306878,2,0.003527336860670194,37,0.06525573192239859,1273.0,0.09900342372172363,Bcells
Pou2f2,34,0.059964726631393295,3,0.005291005291005291,31,0.054673721340388004,1055.0,0.14374414823836992,Bcells
Nfia,33,0.0582010582010582,7,0.012345679012345678,26,0.04585537918871252,1852.0,0.059400401372388334,Bcells
Foxn3,32,0.0564373897707231,4,0.007054673721340388,28,0.04938271604938271,866.0,0.21279837374080848,Bcells
Elf5,32,0.0564373897707231,2,0.003527336860670194,30,0.05291005291005291,75.0,0.11623765411679199,Bcells
Rora,31,0.054673721340388004,13,0.02292768959435626,18,0.031746031746031744,680.0,0.08613592221202161,Bcells
Klf2,31,0.054673721340388004,0,0.0,31,0.054673721340388004,0.0,0.14261314545067075,Bcells
Ahr,31,0.054673721340388004,3,0.005291005291005291,28,0.04938271604938271,542.0,0.0573439040312898,Bcells
Gata2,29,0.05114638447971781,0,0.0,29,0.05114638447971781,0.0,0.0505673249000484,Bcells
Etv6,28,0.04938271604938271,8,0.014109347442680775,20,0.03527336860670194,1221.0,0.08947103429445451,Bcells
Nfatc2,28,0.04938271604938271,1,0.001763668430335097,27,0.047619047619047616,295.0,0.06463373122735788,Bcells
Creb5,28,0.04938271604938271,7,0.012345679012345678,21,0.037037037037037035,403.0,0.061345181126612726,Bcells
Tal1,27,0.047619047619047616,0,0.0,27,0.047619047619047616,0.0,0.07371396462982768,Bcells
