,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Zeb1,106,0.20463320463320464,9,0.017374517374517374,97,0.18725868725868725,4024.0,1.0,DCs
Pbx3,85,0.1640926640926641,0,0.0,85,0.1640926640926641,0.0,0.4459375209178346,DCs
Egr1,85,0.1640926640926641,0,0.0,85,0.1640926640926641,0.0,0.4453987072142723,DCs
Mbd1,71,0.13706563706563707,0,0.0,71,0.13706563706563707,0.0,0.5706554571082254,DCs
Ebf1,70,0.13513513513513514,14,0.02702702702702703,56,0.10810810810810811,2696.0,0.761440308921514,DCs
Maf,66,0.1274131274131274,4,0.007722007722007722,62,0.11969111969111969,1391.0,0.49061475229504303,DCs
Fosl2,64,0.12355212355212356,0,0.0,64,0.12355212355212356,0.0,0.4276573756338446,DCs
Zbtb7c,63,0.12162162162162163,0,0.0,63,0.12162162162162163,0.0,0.47133130139770957,DCs
Klf12,59,0.1138996138996139,0,0.0,59,0.1138996138996139,0.0,0.4371621809153051,DCs
Klf8,58,0.11196911196911197,0,0.0,58,0.11196911196911197,0.0,0.26813602739437925,DCs
Pou2f2,56,0.10810810810810811,0,0.0,56,0.10810810810810811,0.0,0.25995129657929694,DCs
Tcf7l2,55,0.10617760617760617,7,0.013513513513513514,48,0.09266409266409266,2426.0,0.5476350673116512,DCs
Irf8,54,0.10424710424710425,3,0.005791505791505791,51,0.09845559845559845,405.0,0.14806780711663467,DCs
Mafa,54,0.10424710424710425,0,0.0,54,0.10424710424710425,0.0,0.2435114789978576,DCs
Stat1,53,0.10231660231660232,0,0.0,53,0.10231660231660232,0.0,0.1399816766624403,DCs
Tcf4,53,0.10231660231660232,16,0.03088803088803089,37,0.07142857142857142,4122.0,0.517380105860958,DCs
Spi1,53,0.10231660231660232,1,0.0019305019305019305,52,0.10038610038610038,84.0,0.14720831835373,DCs
Rel,52,0.10038610038610038,0,0.0,52,0.10038610038610038,0.0,0.3253553507551793,DCs
Nfia,42,0.08108108108108109,11,0.021235521235521235,31,0.059845559845559844,1887.0,0.31326537439833707,DCs
Trp63,42,0.08108108108108109,6,0.011583011583011582,36,0.0694980694980695,1003.0,0.30710362255068624,DCs
Rora,40,0.07722007722007722,16,0.03088803088803089,24,0.04633204633204633,997.0,0.2985167011408583,DCs
Foxn3,40,0.07722007722007722,10,0.019305019305019305,30,0.05791505791505792,2172.0,0.20970443165140912,DCs
Fli1,39,0.07528957528957529,9,0.017374517374517374,30,0.05791505791505792,676.0,0.12424969648273622,DCs
Ets1,35,0.06756756756756757,6,0.011583011583011582,29,0.055984555984555984,1188.0,0.0890637460431965,DCs
Batf3,35,0.06756756756756757,1,0.0019305019305019305,34,0.06563706563706563,107.0,0.1451342612091973,DCs
Mitf,35,0.06756756756756757,10,0.019305019305019305,25,0.04826254826254826,580.0,0.3095145574533304,DCs
Sp4,34,0.06563706563706563,0,0.0,34,0.06563706563706563,0.0,0.21958585869467742,DCs
Nfatc2,32,0.06177606177606178,0,0.0,32,0.06177606177606178,0.0,0.07152980400222267,DCs
Nr2f1,31,0.059845559845559844,0,0.0,31,0.059845559845559844,0.0,0.20943539283292997,DCs
Pbx1,30,0.05791505791505792,15,0.02895752895752896,15,0.02895752895752896,1327.0,0.31654054432380246,DCs
Nfib,30,0.05791505791505792,13,0.025096525096525095,17,0.032818532818532815,859.0,0.25971425106883644,DCs
Lyl1,30,0.05791505791505792,0,0.0,30,0.05791505791505792,0.0,0.23981433037199495,DCs
Npas3,30,0.05791505791505792,9,0.017374517374517374,21,0.04054054054054054,589.0,0.2542248363716183,DCs
Nr4a3,29,0.055984555984555984,0,0.0,29,0.055984555984555984,0.0,0.11271121731262736,DCs
Jdp2,28,0.05405405405405406,0,0.0,28,0.05405405405405406,0.0,0.10214891499779871,DCs
Klf4,28,0.05405405405405406,0,0.0,28,0.05405405405405406,0.0,0.20848395006014153,DCs
Prrx1,26,0.05019305019305019,6,0.011583011583011582,20,0.03861003861003861,482.0,0.2443595373194142,DCs
Mafb,26,0.05019305019305019,0,0.0,26,0.05019305019305019,0.0,0.15778386395350955,DCs
Creb5,25,0.04826254826254826,5,0.009652509652509652,20,0.03861003861003861,186.0,0.2030581919916038,DCs
Bcl11b,23,0.0444015444015444,6,0.011583011583011582,17,0.032818532818532815,225.0,0.05021374809850718,DCs
Foxp3,21,0.04054054054054054,0,0.0,21,0.04054054054054054,0.0,0.04757747242618971,DCs
Tfap2b,20,0.03861003861003861,0,0.0,20,0.03861003861003861,0.0,0.09576278987839146,DCs
Msc,19,0.03667953667953668,0,0.0,19,0.03667953667953668,0.0,0.08811574523694507,DCs
Egfr,18,0.03474903474903475,18,0.03474903474903475,0,0.0,0.0,0.3104345548899469,DCs
Auts2,18,0.03474903474903475,18,0.03474903474903475,0,0.0,0.0,0.24025494620511464,DCs
Nfatc1,17,0.032818532818532815,0,0.0,17,0.032818532818532815,0.0,0.03974764309133137,DCs
Arhgap15,17,0.032818532818532815,17,0.032818532818532815,0,0.0,0.0,0.122400538153478,DCs
Dock2,17,0.032818532818532815,17,0.032818532818532815,0,0.0,0.0,0.15609467524809414,DCs
Rbms3,17,0.032818532818532815,17,0.032818532818532815,0,0.0,0.0,0.24456735695989237,DCs
Ikzf1,17,0.032818532818532815,13,0.025096525096525095,4,0.007722007722007722,56.0,0.0535475932434522,DCs
Gpc6,17,0.032818532818532815,17,0.032818532818532815,0,0.0,0.0,0.33284097831339626,DCs
Zeb2,16,0.03088803088803089,16,0.03088803088803089,0,0.0,0.0,0.21884467189157356,DCs
Pax5,16,0.03088803088803089,2,0.003861003861003861,14,0.02702702702702703,226.0,0.09096204124377383,DCs
Mef2c,16,0.03088803088803089,2,0.003861003861003861,14,0.02702702702702703,276.0,0.06820467740714053,DCs
Tbx15,15,0.02895752895752896,4,0.007722007722007722,11,0.021235521235521235,35.0,0.09611634299669948,DCs
Tshz2,15,0.02895752895752896,15,0.02895752895752896,0,0.0,0.0,0.20404881778295061,DCs
Ror1,15,0.02895752895752896,15,0.02895752895752896,0,0.0,0.0,0.2947426466172945,DCs
Bcl11a,14,0.02702702702702703,1,0.0019305019305019305,13,0.025096525096525095,20.0,0.05031141448561562,DCs
Klf2,14,0.02702702702702703,0,0.0,14,0.02702702702702703,0.0,0.05242467260682492,DCs
Pcdh7,14,0.02702702702702703,14,0.02702702702702703,0,0.0,0.0,0.34614722055737196,DCs
Skap1,14,0.02702702702702703,14,0.02702702702702703,0,0.0,0.0,0.10648654658440863,DCs
Cacna2d1,14,0.02702702702702703,14,0.02702702702702703,0,0.0,0.0,0.24479179147649338,DCs
Cald1,14,0.02702702702702703,14,0.02702702702702703,0,0.0,0.0,0.18229007996088314,DCs
Zbtb16,13,0.025096525096525095,8,0.015444015444015444,5,0.009652509652509652,1106.0,0.20628199761130572,DCs
Runx3,13,0.025096525096525095,0,0.0,13,0.025096525096525095,0.0,0.05409261849361946,DCs
Rbpms,13,0.025096525096525095,13,0.025096525096525095,0,0.0,0.0,0.2099150313696191,DCs
Sdk1,13,0.025096525096525095,13,0.025096525096525095,0,0.0,0.0,0.17012571638977422,DCs
Dlc1,13,0.025096525096525095,13,0.025096525096525095,0,0.0,0.0,0.15873822757825845,DCs
Slit3,13,0.025096525096525095,13,0.025096525096525095,0,0.0,0.0,0.22518756397078102,DCs
Inpp4b,13,0.025096525096525095,13,0.025096525096525095,0,0.0,0.0,0.05769549139418515,DCs
Shox2,13,0.025096525096525095,0,0.0,13,0.025096525096525095,0.0,0.0850634913302624,DCs
Ptprk,13,0.025096525096525095,13,0.025096525096525095,0,0.0,0.0,0.1281013048971529,DCs
Plxdc2,13,0.025096525096525095,13,0.025096525096525095,0,0.0,0.0,0.20930232226309872,DCs
Relb,13,0.025096525096525095,0,0.0,13,0.025096525096525095,0.0,0.0626399816493317,DCs
Fhod3,12,0.023166023166023165,12,0.023166023166023165,0,0.0,0.0,0.21069578043882142,DCs
Airn,12,0.023166023166023165,12,0.023166023166023165,0,0.0,0.0,0.13563906459283662,DCs
Lama2,12,0.023166023166023165,12,0.023166023166023165,0,0.0,0.0,0.3068446238921938,DCs
Ext1,12,0.023166023166023165,12,0.023166023166023165,0,0.0,0.0,0.14978951686527955,DCs
Arhgap6,12,0.023166023166023165,12,0.023166023166023165,0,0.0,0.0,0.24554891433483916,DCs
Prkcb,12,0.023166023166023165,12,0.023166023166023165,0,0.0,0.0,0.08707472239495372,DCs
Adam12,12,0.023166023166023165,12,0.023166023166023165,0,0.0,0.0,0.2409941510677203,DCs
Arl15,12,0.023166023166023165,12,0.023166023166023165,0,0.0,0.0,0.24655680564196328,DCs
Adamts12,11,0.021235521235521235,11,0.021235521235521235,0,0.0,0.0,0.3313885767405902,DCs
Foxp2,11,0.021235521235521235,0,0.0,11,0.021235521235521235,0.0,0.040993833932096456,DCs
Ddr2,11,0.021235521235521235,11,0.021235521235521235,0,0.0,0.0,0.2293013154772688,DCs
2610307P16Rik,11,0.021235521235521235,11,0.021235521235521235,0,0.0,0.0,0.1742498390233637,DCs
Ankrd44,10,0.019305019305019305,10,0.019305019305019305,0,0.0,0.0,0.047431993386774965,DCs
Bicc1,10,0.019305019305019305,10,0.019305019305019305,0,0.0,0.0,0.16266839225418314,DCs
Fyb,10,0.019305019305019305,10,0.019305019305019305,0,0.0,0.0,0.06728069585436112,DCs
Ptprc,10,0.019305019305019305,10,0.019305019305019305,0,0.0,0.0,0.060595392568292425,DCs
Kcnq5,10,0.019305019305019305,10,0.019305019305019305,0,0.0,0.0,0.1539950252874622,DCs
Filip1l,10,0.019305019305019305,10,0.019305019305019305,0,0.0,0.0,0.10257497914237186,DCs
Foxp1,10,0.019305019305019305,7,0.013513513513513514,3,0.005791505791505791,23.0,0.049689241612061834,DCs
Slc9a9,10,0.019305019305019305,10,0.019305019305019305,0,0.0,0.0,0.08662152844506982,DCs
Hmcn1,10,0.019305019305019305,10,0.019305019305019305,0,0.0,0.0,0.11875831220556872,DCs
Fap,10,0.019305019305019305,10,0.019305019305019305,0,0.0,0.0,0.2008777564590866,DCs
Trim28,10,0.019305019305019305,0,0.0,10,0.019305019305019305,0.0,0.055219319066241196,DCs
Dapk1,10,0.019305019305019305,10,0.019305019305019305,0,0.0,0.0,0.18950695087241648,DCs
Pdgfra,10,0.019305019305019305,10,0.019305019305019305,0,0.0,0.0,0.24369139291999342,DCs
Fbxl7,10,0.019305019305019305,10,0.019305019305019305,0,0.0,0.0,0.19092508243720666,DCs
Dock10,10,0.019305019305019305,10,0.019305019305019305,0,0.0,0.0,0.11040318233488687,DCs
Palld,9,0.017374517374517374,9,0.017374517374517374,0,0.0,0.0,0.09641426358531696,DCs
Svil,9,0.017374517374517374,9,0.017374517374517374,0,0.0,0.0,0.10430267827280165,DCs
Ccnd3,9,0.017374517374517374,9,0.017374517374517374,0,0.0,0.0,0.025432482504583773,DCs
Rhoj,9,0.017374517374517374,9,0.017374517374517374,0,0.0,0.0,0.16058521293924885,DCs
Celf2,9,0.017374517374517374,9,0.017374517374517374,0,0.0,0.0,0.16429687818011077,DCs
Prkg1,9,0.017374517374517374,9,0.017374517374517374,0,0.0,0.0,0.11948390304773736,DCs
Trerf1,9,0.017374517374517374,9,0.017374517374517374,0,0.0,0.0,0.10942580540334693,DCs
Ldb2,9,0.017374517374517374,9,0.017374517374517374,0,0.0,0.0,0.25444288625595246,DCs
Bcl2,9,0.017374517374517374,9,0.017374517374517374,0,0.0,0.0,0.11600301857099321,DCs
Slit2,9,0.017374517374517374,9,0.017374517374517374,0,0.0,0.0,0.17560236456288478,DCs
Ank3,9,0.017374517374517374,9,0.017374517374517374,0,0.0,0.0,0.1290734844257555,DCs
Dst,8,0.015444015444015444,8,0.015444015444015444,0,0.0,0.0,0.0865990470593225,DCs
Grap2,8,0.015444015444015444,8,0.015444015444015444,0,0.0,0.0,0.03664998602173406,DCs
Csmd1,8,0.015444015444015444,8,0.015444015444015444,0,0.0,0.0,0.13018557161640407,DCs
Trps1,8,0.015444015444015444,8,0.015444015444015444,0,0.0,0.0,0.05880470864903901,DCs
Bmper,8,0.015444015444015444,8,0.015444015444015444,0,0.0,0.0,0.13100678520750791,DCs
Ptpn14,8,0.015444015444015444,8,0.015444015444015444,0,0.0,0.0,0.10316861244213286,DCs
Col5a1,8,0.015444015444015444,8,0.015444015444015444,0,0.0,0.0,0.15355857496179073,DCs
Fgf10,8,0.015444015444015444,8,0.015444015444015444,0,0.0,0.0,0.17504970223966293,DCs
Abca8a,8,0.015444015444015444,8,0.015444015444015444,0,0.0,0.0,0.14435096447879614,DCs
Fmnl2,8,0.015444015444015444,8,0.015444015444015444,0,0.0,0.0,0.10702683150971154,DCs
Col1a2,8,0.015444015444015444,8,0.015444015444015444,0,0.0,0.0,0.1551662784586905,DCs
Magi1,8,0.015444015444015444,8,0.015444015444015444,0,0.0,0.0,0.07961446528883866,DCs
Sned1,8,0.015444015444015444,8,0.015444015444015444,0,0.0,0.0,0.15082523570475306,DCs
Elf4,8,0.015444015444015444,0,0.0,8,0.015444015444015444,0.0,0.029622128043587173,DCs
Pou3f1,7,0.013513513513513514,0,0.0,7,0.013513513513513514,0.0,0.024165878983802066,DCs
Myh11,7,0.013513513513513514,7,0.013513513513513514,0,0.0,0.0,0.12185053230657324,DCs
Pde3a,7,0.013513513513513514,7,0.013513513513513514,0,0.0,0.0,0.21465470657803884,DCs
Ptprm,7,0.013513513513513514,7,0.013513513513513514,0,0.0,0.0,0.1073394033479297,DCs
Srgap1,7,0.013513513513513514,7,0.013513513513513514,0,0.0,0.0,0.14609661132648755,DCs
Hoxb6,7,0.013513513513513514,0,0.0,7,0.013513513513513514,0.0,0.03919401968296502,DCs
Col5a3,7,0.013513513513513514,7,0.013513513513513514,0,0.0,0.0,0.19217579018732714,DCs
Cdh11,7,0.013513513513513514,7,0.013513513513513514,0,0.0,0.0,0.17881393222839767,DCs
Frmd4b,7,0.013513513513513514,7,0.013513513513513514,0,0.0,0.0,0.07466180252110412,DCs
Fbn1,7,0.013513513513513514,7,0.013513513513513514,0,0.0,0.0,0.16134663075114647,DCs
Prkch,7,0.013513513513513514,7,0.013513513513513514,0,0.0,0.0,0.026258412831530447,DCs
Prkcq,7,0.013513513513513514,7,0.013513513513513514,0,0.0,0.0,0.02392258255791124,DCs
Nxn,7,0.013513513513513514,7,0.013513513513513514,0,0.0,0.0,0.1504163138569948,DCs
Tnik,7,0.013513513513513514,7,0.013513513513513514,0,0.0,0.0,0.04588465143377256,DCs
Lpl,7,0.013513513513513514,7,0.013513513513513514,0,0.0,0.0,0.11926438171751363,DCs
Mbnl1,7,0.013513513513513514,7,0.013513513513513514,0,0.0,0.0,0.021564093518565173,DCs
Magi2,7,0.013513513513513514,7,0.013513513513513514,0,0.0,0.0,0.10193930398602442,DCs
Col5a2,7,0.013513513513513514,7,0.013513513513513514,0,0.0,0.0,0.2054592371643647,DCs
