,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Sp4,135,0.25812619502868067,0,0.0,135,0.25812619502868067,0.0,0.545450912618565,Endothelials
Ets1,120,0.2294455066921606,10,0.019120458891013385,110,0.21032504780114722,3216.0,0.6351061958966394,Endothelials
Tcf7l2,114,0.2179732313575526,13,0.0248565965583174,101,0.1931166347992352,4697.0,1.0,Endothelials
Klf12,88,0.1682600382409178,1,0.0019120458891013384,87,0.16634799235181644,474.0,0.6664869042066652,Endothelials
Stat1,85,0.16252390057361377,4,0.0076481835564053535,81,0.15487571701720843,1839.0,0.2680668420156852,Endothelials
Klf2,76,0.14531548757170173,0,0.0,76,0.14531548757170173,0.0,0.2232759455146115,Endothelials
Pax5,71,0.13575525812619502,4,0.0076481835564053535,67,0.12810707456978968,4977.0,0.14253467771109915,Endothelials
Mef2c,66,0.12619502868068833,5,0.009560229445506692,61,0.11663479923518165,6575.0,0.22904204783023877,Endothelials
Zeb1,65,0.124282982791587,4,0.0076481835564053535,61,0.11663479923518165,1526.0,0.3559550536917135,Endothelials
Fli1,64,0.12237093690248566,10,0.019120458891013385,54,0.10325047801147227,1971.0,0.3567149107834617,Endothelials
Pou2f2,55,0.10516252390057361,1,0.0019120458891013384,54,0.10325047801147227,2745.0,0.18509121955252253,Endothelials
Ebf1,54,0.10325047801147227,13,0.0248565965583174,41,0.07839388145315487,6473.0,0.24737764810405952,Endothelials
Bcl11a,51,0.09751434034416825,4,0.0076481835564053535,47,0.08986615678776291,959.0,0.24924644945113392,Endothelials
Egr1,50,0.09560229445506692,0,0.0,50,0.09560229445506692,0.0,0.2877209133831825,Endothelials
Pbx3,49,0.09369024856596558,0,0.0,49,0.09369024856596558,0.0,0.321797410830004,Endothelials
Tfap2b,48,0.09177820267686425,0,0.0,48,0.09177820267686425,0.0,0.3217529803003621,Endothelials
Elf5,41,0.07839388145315487,5,0.009560229445506692,36,0.06883365200764818,708.0,0.3164929311592797,Endothelials
Rel,40,0.07648183556405354,0,0.0,40,0.07648183556405354,0.0,0.15526638512571636,Endothelials
Ehf,40,0.07648183556405354,9,0.017208413001912046,31,0.05927342256214149,3348.0,0.20528439858587197,Endothelials
Bcl11b,32,0.06118546845124283,7,0.01338432122370937,25,0.04780114722753346,446.0,0.13391439898376545,Endothelials
Foxn3,31,0.05927342256214149,6,0.011472275334608031,25,0.04780114722753346,229.0,0.1747050593367156,Endothelials
Nfib,31,0.05927342256214149,14,0.02676864244741874,17,0.032504780114722756,266.0,0.31799054267523963,Endothelials
Creb5,29,0.055449330783938815,2,0.0038240917782026767,27,0.05162523900573614,203.0,0.2085588267920272,Endothelials
Rora,29,0.055449330783938815,13,0.0248565965583174,16,0.030592734225621414,397.0,0.20019747614640024,Endothelials
Tal1,28,0.05353728489483748,0,0.0,28,0.05353728489483748,0.0,0.06771671101792813,Endothelials
Bach2,28,0.05353728489483748,7,0.01338432122370937,21,0.040152963671128104,563.0,0.10058801900357531,Endothelials
Klf4,26,0.0497131931166348,0,0.0,26,0.0497131931166348,0.0,0.06219843920164845,Endothelials
Ahr,25,0.04780114722753346,0,0.0,25,0.04780114722753346,0.0,0.15356129157431045,Endothelials
Klf8,23,0.04397705544933078,0,0.0,23,0.04397705544933078,0.0,0.07086687856384516,Endothelials
Pbx1,22,0.04206500956022945,9,0.017208413001912046,13,0.0248565965583174,1074.0,0.35953389287448295,Endothelials
Mbd1,22,0.04206500956022945,0,0.0,22,0.04206500956022945,0.0,0.09523933929881606,Endothelials
Npas3,22,0.04206500956022945,9,0.017208413001912046,13,0.0248565965583174,147.0,0.3485980771777753,Endothelials
Nfatc1,22,0.04206500956022945,0,0.0,22,0.04206500956022945,0.0,0.12443334656716244,Endothelials
Lef1,21,0.040152963671128104,11,0.021032504780114723,10,0.019120458891013385,556.0,0.2141958301755626,Endothelials
Nfia,21,0.040152963671128104,8,0.015296367112810707,13,0.0248565965583174,1077.0,0.1499551838699529,Endothelials
Tcf4,20,0.03824091778202677,6,0.011472275334608031,14,0.02676864244741874,6201.0,0.05289111323147127,Endothelials
Hey2,20,0.03824091778202677,0,0.0,20,0.03824091778202677,0.0,0.06778970996727358,Endothelials
Ikzf1,19,0.036328871892925434,8,0.015296367112810707,11,0.021032504780114723,195.0,0.11852758716335514,Endothelials
