,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Klf12,131,0.21129032258064517,2,0.0032258064516129032,129,0.20806451612903226,2749.0,0.6381574380330239,Epi_Ctr9+
Zeb1,127,0.20483870967741935,7,0.01129032258064516,120,0.1935483870967742,9144.0,1.0,Epi_Ctr9+
Tfap2b,116,0.1870967741935484,2,0.0032258064516129032,114,0.18387096774193548,3253.0,0.7197643786085347,Epi_Ctr9+
Ebf1,99,0.1596774193548387,9,0.014516129032258065,90,0.14516129032258066,4507.0,0.8307384985967773,Epi_Ctr9+
Tcf7l2,99,0.1596774193548387,9,0.014516129032258065,90,0.14516129032258066,9591.0,0.48986359310555505,Epi_Ctr9+
Pbx3,82,0.13225806451612904,0,0.0,82,0.13225806451612904,0.0,0.21726735239748876,Epi_Ctr9+
Ets1,69,0.11129032258064517,4,0.0064516129032258064,65,0.10483870967741936,2585.0,0.31772253764897934,Epi_Ctr9+
Mef2c,66,0.1064516129032258,0,0.0,66,0.1064516129032258,0.0,0.2332344938119446,Epi_Ctr9+
Foxn3,66,0.1064516129032258,9,0.014516129032258065,57,0.09193548387096774,8082.0,0.3831433698396856,Epi_Ctr9+
Stat1,63,0.10161290322580645,0,0.0,63,0.10161290322580645,0.0,0.39282518736109606,Epi_Ctr9+
Sp4,49,0.07903225806451612,0,0.0,49,0.07903225806451612,0.0,0.16185376934066803,Epi_Ctr9+
Maf,45,0.07258064516129033,1,0.0016129032258064516,44,0.07096774193548387,1140.0,0.21206116500797215,Epi_Ctr9+
Klf8,45,0.07258064516129033,0,0.0,45,0.07258064516129033,0.0,0.2212957577817303,Epi_Ctr9+
Mlxipl,42,0.06774193548387097,6,0.00967741935483871,36,0.05806451612903226,2127.0,0.2588599349078987,Epi_Ctr9+
Pgr,42,0.06774193548387097,8,0.012903225806451613,34,0.054838709677419356,5719.0,0.35433948750724714,Epi_Ctr9+
Zbtb7c,40,0.06451612903225806,0,0.0,40,0.06451612903225806,0.0,0.2044814888312845,Epi_Ctr9+
Creb5,39,0.06290322580645161,5,0.008064516129032258,34,0.054838709677419356,1727.0,0.1496248529687324,Epi_Ctr9+
Irf4,39,0.06290322580645161,0,0.0,39,0.06290322580645161,0.0,0.2676303891799108,Epi_Ctr9+
Mbd1,33,0.0532258064516129,2,0.0032258064516129032,31,0.05,1254.0,0.1470260195418054,Epi_Ctr9+
Npas3,31,0.05,4,0.0064516129032258064,27,0.043548387096774194,1172.0,0.2548157963471089,Epi_Ctr9+
Pparg,30,0.04838709677419355,5,0.008064516129032258,25,0.04032258064516129,729.0,0.20321411750754353,Epi_Ctr9+
Prdm16,30,0.04838709677419355,0,0.0,30,0.04838709677419355,0.0,0.21198924064617455,Epi_Ctr9+
Klf4,29,0.0467741935483871,0,0.0,29,0.0467741935483871,0.0,0.1271467426520473,Epi_Ctr9+
Ppargc1a,29,0.0467741935483871,1,0.0016129032258064516,28,0.04516129032258064,495.0,0.11260146764940257,Epi_Ctr9+
Bach2,28,0.04516129032258064,7,0.01129032258064516,21,0.03387096774193549,3910.0,0.16086859062081188,Epi_Ctr9+
Trp63,28,0.04516129032258064,2,0.0032258064516129032,26,0.041935483870967745,1202.0,0.07430976951151663,Epi_Ctr9+
Mafb,25,0.04032258064516129,0,0.0,25,0.04032258064516129,0.0,0.1025534685723963,Epi_Ctr9+
Klf2,25,0.04032258064516129,0,0.0,25,0.04032258064516129,0.0,0.12827059249644282,Epi_Ctr9+
Elf5,24,0.03870967741935484,1,0.0016129032258064516,23,0.037096774193548385,497.0,0.06457661275601602,Epi_Ctr9+
Nfia,24,0.03870967741935484,6,0.00967741935483871,18,0.02903225806451613,1404.0,0.1520978188495445,Epi_Ctr9+
Nfatc2,24,0.03870967741935484,0,0.0,24,0.03870967741935484,0.0,0.0980277250325273,Epi_Ctr9+
Rel,23,0.037096774193548385,0,0.0,23,0.037096774193548385,0.0,0.1285817468924124,Epi_Ctr9+
