,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Pbx3,148,0.25042301184433163,3,0.005076142131979695,145,0.24534686971235195,6094.0,0.8313185585527052,Epi_proliferating
Tcf7l2,123,0.20812182741116753,13,0.021996615905245348,110,0.18612521150592218,6917.0,1.0,Epi_proliferating
Mef2c,120,0.20304568527918782,6,0.01015228426395939,114,0.19289340101522842,5862.0,0.7790072966392753,Epi_proliferating
Ets1,95,0.16074450084602368,7,0.011844331641285956,88,0.14890016920473773,4214.0,0.39824105789380865,Epi_proliferating
Klf12,94,0.15905245346869712,2,0.00338409475465313,92,0.155668358714044,650.0,0.7528427703752896,Epi_proliferating
Pax5,83,0.1404399323181049,5,0.008460236886632826,78,0.1319796954314721,2726.0,0.3754779821353813,Epi_proliferating
Ehf,66,0.1116751269035533,8,0.01353637901861252,58,0.09813874788494077,3489.0,0.3032178789225604,Epi_proliferating
Stat1,66,0.1116751269035533,3,0.005076142131979695,63,0.1065989847715736,1111.0,0.2268775198232418,Epi_proliferating
Bcl11a,65,0.10998307952622674,5,0.008460236886632826,60,0.10152284263959391,1833.0,0.4951878541921169,Epi_proliferating
Elf5,63,0.1065989847715736,6,0.01015228426395939,57,0.09644670050761421,1244.0,0.42834041917231136,Epi_proliferating
Mbd1,61,0.10321489001692047,0,0.0,61,0.10321489001692047,0.0,0.37695218591898083,Epi_proliferating
Pou2f2,60,0.10152284263959391,1,0.001692047377326565,59,0.09983079526226735,339.0,0.3386424359028013,Epi_proliferating
Jdp2,60,0.10152284263959391,0,0.0,60,0.10152284263959391,0.0,0.23113930198136418,Epi_proliferating
Sp4,55,0.09306260575296109,0,0.0,55,0.09306260575296109,0.0,0.1990155995732868,Epi_proliferating
Tfap2b,55,0.09306260575296109,1,0.001692047377326565,54,0.09137055837563451,490.0,0.2674751095187241,Epi_proliferating
Egr1,50,0.08460236886632826,0,0.0,50,0.08460236886632826,0.0,0.28283739554757586,Epi_proliferating
Foxn3,49,0.0829103214890017,7,0.011844331641285956,42,0.07106598984771574,2843.0,0.27290331004321555,Epi_proliferating
Fli1,42,0.07106598984771574,5,0.008460236886632826,37,0.06260575296108291,825.0,0.20220592233094709,Epi_proliferating
Zeb1,38,0.06429780033840947,2,0.00338409475465313,36,0.06091370558375635,692.0,0.16128696862381983,Epi_proliferating
Creb5,38,0.06429780033840947,6,0.01015228426395939,32,0.05414551607445008,1434.0,0.22420767823099416,Epi_proliferating
Klf2,37,0.06260575296108291,0,0.0,37,0.06260575296108291,0.0,0.13644712783359866,Epi_proliferating
Trp63,36,0.06091370558375635,4,0.00676818950930626,32,0.05414551607445008,478.0,0.22909130660698415,Epi_proliferating
Zbtb7c,33,0.05583756345177665,1,0.001692047377326565,32,0.05414551607445008,246.0,0.18979475499087564,Epi_proliferating
Tcf4,29,0.049069373942470386,4,0.00676818950930626,25,0.04230118443316413,1595.0,0.185684955725993,Epi_proliferating
Npas3,28,0.047377326565143825,7,0.011844331641285956,21,0.03553299492385787,1863.0,0.2937097082263681,Epi_proliferating
Ahr,27,0.04568527918781726,1,0.001692047377326565,26,0.043993231810490696,154.0,0.15273729041331482,Epi_proliferating
Nfatc2,27,0.04568527918781726,0,0.0,27,0.04568527918781726,0.0,0.1228129919389518,Epi_proliferating
Klf8,27,0.04568527918781726,0,0.0,27,0.04568527918781726,0.0,0.11849512213963187,Epi_proliferating
Rora,27,0.04568527918781726,11,0.018612521150592216,16,0.02707275803722504,374.0,0.19754622113983014,Epi_proliferating
Nfib,26,0.043993231810490696,11,0.018612521150592216,15,0.025380710659898477,2094.0,0.32823167514917373,Epi_proliferating
Bcl11b,25,0.04230118443316413,6,0.01015228426395939,19,0.032148900169204735,301.0,0.06642492969465104,Epi_proliferating
Ebf1,25,0.04230118443316413,10,0.01692047377326565,15,0.025380710659898477,1685.0,0.1735383944285809,Epi_proliferating
Nfatc1,22,0.03722504230118443,0,0.0,22,0.03722504230118443,0.0,0.08146073441335283,Epi_proliferating
Pbx1,21,0.03553299492385787,8,0.01353637901861252,13,0.021996615905245348,147.0,0.32578645199989464,Epi_proliferating
Rel,20,0.0338409475465313,0,0.0,20,0.0338409475465313,0.0,0.13489173527562076,Epi_proliferating
Nfia,20,0.0338409475465313,7,0.011844331641285956,13,0.021996615905245348,1015.0,0.18457647421792808,Epi_proliferating
Mafa,20,0.0338409475465313,0,0.0,20,0.0338409475465313,0.0,0.09218850069140551,Epi_proliferating
Hey2,19,0.032148900169204735,0,0.0,19,0.032148900169204735,0.0,0.08167427772292775,Epi_proliferating
Myh11,18,0.030456852791878174,18,0.030456852791878174,0,0.0,0.0,0.38653162017653575,Epi_proliferating
Bach2,16,0.02707275803722504,9,0.015228426395939087,7,0.011844331641285956,196.0,0.08049903994598075,Epi_proliferating
Prkg1,16,0.02707275803722504,16,0.02707275803722504,0,0.0,0.0,0.23705947521490897,Epi_proliferating
Plxdc2,14,0.023688663282571912,14,0.023688663282571912,0,0.0,0.0,0.2527118886037997,Epi_proliferating
Ikzf1,14,0.023688663282571912,5,0.008460236886632826,9,0.015228426395939087,104.0,0.05867594854233861,Epi_proliferating
Ascl2,14,0.023688663282571912,0,0.0,14,0.023688663282571912,0.0,0.0731858538162088,Epi_proliferating
