,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Zeb1,111,0.20108695652173914,4,0.007246376811594203,107,0.19384057971014493,3092.0,1.0,Fibroblasts
Tcf7l2,103,0.18659420289855072,9,0.016304347826086956,94,0.17028985507246377,5351.0,0.7557609852350445,Fibroblasts
Ets1,92,0.16666666666666666,6,0.010869565217391304,86,0.15579710144927536,3253.0,0.40281366433271476,Fibroblasts
Ebf1,85,0.1539855072463768,12,0.021739130434782608,73,0.1322463768115942,5630.0,0.7191630697045097,Fibroblasts
Mbd1,75,0.1358695652173913,0,0.0,75,0.1358695652173913,0.0,0.27047795353269793,Fibroblasts
Pbx3,64,0.11594202898550725,0,0.0,64,0.11594202898550725,0.0,0.5653973257410718,Fibroblasts
Maf,64,0.11594202898550725,4,0.007246376811594203,60,0.10869565217391304,2570.0,0.3077387502218353,Fibroblasts
Klf12,61,0.1105072463768116,0,0.0,61,0.1105072463768116,0.0,0.16942775487048012,Fibroblasts
Klf2,59,0.1068840579710145,0,0.0,59,0.1068840579710145,0.0,0.22062258932088813,Fibroblasts
Fli1,56,0.10144927536231885,4,0.007246376811594203,52,0.09420289855072464,1503.0,0.377417124561778,Fibroblasts
Irf4,56,0.10144927536231885,0,0.0,56,0.10144927536231885,0.0,0.22044089452887874,Fibroblasts
Zbtb7c,53,0.09601449275362318,0,0.0,53,0.09601449275362318,0.0,0.17783660619454647,Fibroblasts
Creb5,49,0.08876811594202899,12,0.021739130434782608,37,0.06702898550724638,2422.0,0.21269102356497535,Fibroblasts
Pax5,45,0.08152173913043478,4,0.007246376811594203,41,0.07427536231884058,136.0,0.3177966459223685,Fibroblasts
Foxn3,45,0.08152173913043478,9,0.016304347826086956,36,0.06521739130434782,1622.0,0.37387377153986145,Fibroblasts
Nfia,41,0.07427536231884058,5,0.009057971014492754,36,0.06521739130434782,1426.0,0.15369991414222886,Fibroblasts
Stat1,40,0.07246376811594203,0,0.0,40,0.07246376811594203,0.0,0.20965536291981077,Fibroblasts
Tcf4,39,0.07065217391304347,7,0.012681159420289856,32,0.057971014492753624,2340.0,0.26885287176883144,Fibroblasts
Mitf,38,0.06884057971014493,10,0.018115942028985508,28,0.050724637681159424,561.0,0.24616260865995043,Fibroblasts
Npas3,37,0.06702898550724638,8,0.014492753623188406,29,0.05253623188405797,1014.0,0.29875997792729614,Fibroblasts
Sp4,36,0.06521739130434782,0,0.0,36,0.06521739130434782,0.0,0.17787136314928242,Fibroblasts
Mef2c,35,0.06340579710144928,3,0.005434782608695652,32,0.057971014492753624,704.0,0.16151997000200136,Fibroblasts
Ehf,32,0.057971014492753624,2,0.0036231884057971015,30,0.05434782608695652,75.0,0.12154034126543027,Fibroblasts
Klf8,31,0.05615942028985507,0,0.0,31,0.05615942028985507,0.0,0.11378771755011038,Fibroblasts
Tfap2b,30,0.05434782608695652,0,0.0,30,0.05434782608695652,0.0,0.22470637656023956,Fibroblasts
Pou2f2,29,0.05253623188405797,0,0.0,29,0.05253623188405797,0.0,0.20603670329050464,Fibroblasts
Rora,29,0.05253623188405797,7,0.012681159420289856,22,0.03985507246376811,423.0,0.21868275876775872,Fibroblasts
Prrx1,29,0.05253623188405797,6,0.010869565217391304,23,0.041666666666666664,1123.0,0.13437194008250297,Fibroblasts
Ahr,29,0.05253623188405797,0,0.0,29,0.05253623188405797,0.0,0.10354607577025818,Fibroblasts
Pparg,28,0.050724637681159424,5,0.009057971014492754,23,0.041666666666666664,89.0,0.2004922174760915,Fibroblasts
Ebf3,27,0.04891304347826087,2,0.0036231884057971015,25,0.04528985507246377,41.0,0.06811501703896318,Fibroblasts
Pbx1,27,0.04891304347826087,9,0.016304347826086956,18,0.03260869565217391,5208.0,0.3347133000808272,Fibroblasts
Ppargc1a,26,0.04710144927536232,0,0.0,26,0.04710144927536232,0.0,0.35678721010097153,Fibroblasts
Nfib,26,0.04710144927536232,8,0.014492753623188406,18,0.03260869565217391,1120.0,0.15116206000693705,Fibroblasts
Mlxipl,25,0.04528985507246377,0,0.0,25,0.04528985507246377,0.0,0.03566257072718043,Fibroblasts
Bcl11b,24,0.043478260869565216,5,0.009057971014492754,19,0.034420289855072464,927.0,0.14697250935692202,Fibroblasts
Elf5,22,0.03985507246376811,1,0.0018115942028985507,21,0.03804347826086957,16.0,0.09206946747169227,Fibroblasts
Egr1,22,0.03985507246376811,0,0.0,22,0.03985507246376811,0.0,0.09471570514381672,Fibroblasts
Prdm16,21,0.03804347826086957,0,0.0,21,0.03804347826086957,0.0,0.059210296540577835,Fibroblasts
Tbx15,21,0.03804347826086957,7,0.012681159420289856,14,0.025362318840579712,442.0,0.1337400717297263,Fibroblasts
Bcl11a,20,0.036231884057971016,3,0.005434782608695652,17,0.030797101449275364,30.0,0.06257440079588754,Fibroblasts
Klf4,20,0.036231884057971016,0,0.0,20,0.036231884057971016,0.0,0.07495702141175957,Fibroblasts
Fgf10,18,0.03260869565217391,18,0.03260869565217391,0,0.0,0.0,0.3694722510173928,Fibroblasts
Ror1,18,0.03260869565217391,18,0.03260869565217391,0,0.0,0.0,0.4560349586739521,Fibroblasts
Trp63,17,0.030797101449275364,1,0.0018115942028985507,16,0.028985507246376812,464.0,0.07541102231991245,Fibroblasts
Nfatc1,17,0.030797101449275364,0,0.0,17,0.030797101449275364,0.0,0.05530277120989983,Fibroblasts
Ikzf2,17,0.030797101449275364,0,0.0,17,0.030797101449275364,0.0,0.0486666046637889,Fibroblasts
Zbtb16,16,0.028985507246376812,8,0.014492753623188406,8,0.014492753623188406,482.0,0.1353334693274701,Fibroblasts
Foxp1,15,0.02717391304347826,5,0.009057971014492754,10,0.018115942028985508,196.0,0.15367856881414957,Fibroblasts
Mafb,15,0.02717391304347826,0,0.0,15,0.02717391304347826,0.0,0.033424566547455535,Fibroblasts
Runx3,15,0.02717391304347826,0,0.0,15,0.02717391304347826,0.0,0.05325227556556553,Fibroblasts
Fbn1,14,0.025362318840579712,14,0.025362318840579712,0,0.0,0.0,0.1519024343719171,Fibroblasts
Id1,14,0.025362318840579712,0,0.0,14,0.025362318840579712,0.0,0.053060147683769245,Fibroblasts
Ppara,14,0.025362318840579712,0,0.0,14,0.025362318840579712,0.0,0.03602589769418733,Fibroblasts
Nfatc2,14,0.025362318840579712,0,0.0,14,0.025362318840579712,0.0,0.07258238599669677,Fibroblasts
Slit3,14,0.025362318840579712,14,0.025362318840579712,0,0.0,0.0,0.1028462200670384,Fibroblasts
Auts2,13,0.02355072463768116,13,0.02355072463768116,0,0.0,0.0,0.15688777943698123,Fibroblasts
Elf4,13,0.02355072463768116,0,0.0,13,0.02355072463768116,0.0,0.02584517291918773,Fibroblasts
Nova1,13,0.02355072463768116,13,0.02355072463768116,0,0.0,0.0,0.1785592460598724,Fibroblasts
Sdk1,13,0.02355072463768116,13,0.02355072463768116,0,0.0,0.0,0.13951818966983764,Fibroblasts
Hey2,13,0.02355072463768116,0,0.0,13,0.02355072463768116,0.0,0.0769043473330345,Fibroblasts
Ikzf1,13,0.02355072463768116,6,0.010869565217391304,7,0.012681159420289856,36.0,0.04628544440311175,Fibroblasts
Slit2,13,0.02355072463768116,13,0.02355072463768116,0,0.0,0.0,0.2040612469105623,Fibroblasts
Adamtsl1,13,0.02355072463768116,13,0.02355072463768116,0,0.0,0.0,0.28654817855200476,Fibroblasts
Ldb2,13,0.02355072463768116,13,0.02355072463768116,0,0.0,0.0,0.5397250574109803,Fibroblasts
Arhgap6,12,0.021739130434782608,12,0.021739130434782608,0,0.0,0.0,0.15478840290726067,Fibroblasts
Pcdh7,12,0.021739130434782608,12,0.021739130434782608,0,0.0,0.0,0.27385430494331686,Fibroblasts
Fap,12,0.021739130434782608,12,0.021739130434782608,0,0.0,0.0,0.2014244465640747,Fibroblasts
Cdh11,12,0.021739130434782608,12,0.021739130434782608,0,0.0,0.0,0.21843817108990513,Fibroblasts
Lama2,12,0.021739130434782608,12,0.021739130434782608,0,0.0,0.0,0.4445001028381121,Fibroblasts
Pde3a,12,0.021739130434782608,12,0.021739130434782608,0,0.0,0.0,0.20438251378277494,Fibroblasts
