,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Ets1,112,0.1774960380348653,8,0.012678288431061807,104,0.1648177496038035,7798.0,0.6132441559134156,Myeloid_cells
Tcf7l2,105,0.1664025356576862,9,0.014263074484944533,96,0.15213946117274169,6346.0,1.0,Myeloid_cells
Pax5,81,0.12836767036450078,4,0.006339144215530904,77,0.12202852614896989,5313.0,0.400251784502327,Myeloid_cells
Klf12,79,0.12519809825673534,2,0.003169572107765452,77,0.12202852614896989,699.0,0.6651983090717947,Myeloid_cells
Pbx3,69,0.10935023771790808,1,0.001584786053882726,68,0.10776545166402536,493.0,0.24078673662298875,Myeloid_cells
Stat1,65,0.10301109350237718,3,0.004754358161648178,62,0.098256735340729,1944.0,0.28518034587768576,Myeloid_cells
Egr1,64,0.10142630744849446,0,0.0,64,0.10142630744849446,0.0,0.44089235500760887,Myeloid_cells
Ebf1,64,0.10142630744849446,14,0.022187004754358162,50,0.07923930269413629,5097.0,0.2925168085299904,Myeloid_cells
Mbd1,62,0.098256735340729,0,0.0,62,0.098256735340729,0.0,0.3212530405330385,Myeloid_cells
Sp4,62,0.098256735340729,0,0.0,62,0.098256735340729,0.0,0.32282277091731776,Myeloid_cells
Pou2f2,60,0.09508716323296355,2,0.003169572107765452,58,0.0919175911251981,1334.0,0.2713875179011908,Myeloid_cells
Zeb1,60,0.09508716323296355,4,0.006339144215530904,56,0.08874801901743265,4694.0,0.3089522019916416,Myeloid_cells
Mef2c,57,0.09033280507131537,4,0.006339144215530904,53,0.08399366085578447,1920.0,0.3381327959614767,Myeloid_cells
Fli1,57,0.09033280507131537,7,0.011093502377179081,50,0.07923930269413629,1604.0,0.3639933759210878,Myeloid_cells
Klf2,49,0.07765451664025357,0,0.0,49,0.07765451664025357,0.0,0.2176223163506296,Myeloid_cells
Zbtb7c,44,0.06973058637083994,0,0.0,44,0.06973058637083994,0.0,0.23781958500202527,Myeloid_cells
Foxn3,40,0.06339144215530904,7,0.011093502377179081,33,0.05229793977812995,1166.0,0.2530007392788633,Myeloid_cells
Elf5,40,0.06339144215530904,4,0.006339144215530904,36,0.05705229793977813,521.0,0.3011655617853812,Myeloid_cells
Klf4,39,0.061806656101426306,0,0.0,39,0.061806656101426306,0.0,0.16977749144989612,Myeloid_cells
Bcl11a,38,0.060221870047543584,4,0.006339144215530904,34,0.05388272583201268,1783.0,0.20374649168497494,Myeloid_cells
Rora,33,0.05229793977812995,14,0.022187004754358162,19,0.030110935023771792,651.0,0.26239114766384114,Myeloid_cells
