,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Zeb1,118,0.2277992277992278,5,0.009652509652509652,113,0.21814671814671815,5433.0,1.0,SMC?
Ebf1,104,0.20077220077220076,17,0.032818532818532815,87,0.16795366795366795,7400.0,0.8827604439317392,SMC?
Klf8,86,0.16602316602316602,0,0.0,86,0.16602316602316602,0.0,0.44703760563857214,SMC?
Ets1,85,0.1640926640926641,7,0.013513513513513514,78,0.15057915057915058,3977.0,0.6756316109989645,SMC?
Stat1,76,0.14671814671814673,6,0.011583011583011582,70,0.13513513513513514,3119.0,0.4709226846186696,SMC?
Klf12,62,0.11969111969111969,0,0.0,62,0.11969111969111969,0.0,0.3791210210677902,SMC?
Tcf7l2,60,0.11583011583011583,14,0.02702702702702703,46,0.0888030888030888,3691.0,0.3648211851450211,SMC?
Zbtb7c,59,0.1138996138996139,2,0.003861003861003861,57,0.11003861003861004,1805.0,0.2668800796387484,SMC?
Pou2f2,58,0.11196911196911197,0,0.0,58,0.11196911196911197,0.0,0.37350186198465246,SMC?
Fli1,54,0.10424710424710425,9,0.017374517374517374,45,0.08687258687258688,1800.0,0.4846900577135169,SMC?
Mbd1,52,0.10038610038610038,0,0.0,52,0.10038610038610038,0.0,0.18466490101987548,SMC?
Pbx3,49,0.0945945945945946,0,0.0,49,0.0945945945945946,0.0,0.2066300464855647,SMC?
Egr1,46,0.0888030888030888,0,0.0,46,0.0888030888030888,0.0,0.250237823905461,SMC?
Nfatc1,40,0.07722007722007722,0,0.0,40,0.07722007722007722,0.0,0.2860527342537054,SMC?
Foxn3,37,0.07142857142857142,8,0.015444015444015444,29,0.055984555984555984,860.0,0.30915640283323165,SMC?
Gli2,36,0.0694980694980695,1,0.0019305019305019305,35,0.06756756756756757,1378.0,0.1454775877690419,SMC?
Foxp3,35,0.06756756756756757,0,0.0,35,0.06756756756756757,0.0,0.26526337977861353,SMC?
Tcf4,34,0.06563706563706563,7,0.013513513513513514,27,0.052123552123552123,2841.0,0.2524422935905287,SMC?
Nfatc2,34,0.06563706563706563,0,0.0,34,0.06563706563706563,0.0,0.19548241984925419,SMC?
Nr2f2,34,0.06563706563706563,0,0.0,34,0.06563706563706563,0.0,0.08585952661809795,SMC?
Ehf,33,0.0637065637065637,7,0.013513513513513514,26,0.05019305019305019,3464.0,0.21513384841646746,SMC?
Pax5,33,0.0637065637065637,4,0.007722007722007722,29,0.055984555984555984,755.0,0.13449678163691833,SMC?
Bcl11b,32,0.06177606177606178,7,0.013513513513513514,25,0.04826254826254826,540.0,0.37555411454513005,SMC?
Prrx1,32,0.06177606177606178,6,0.011583011583011582,26,0.05019305019305019,1375.0,0.23526530264239612,SMC?
Klf2,32,0.06177606177606178,0,0.0,32,0.06177606177606178,0.0,0.19482060352656416,SMC?
Prdm1,29,0.055984555984555984,0,0.0,29,0.055984555984555984,0.0,0.19354395945323513,SMC?
Rora,28,0.05405405405405406,12,0.023166023166023165,16,0.03088803088803089,1147.0,0.19646038280874967,SMC?
Npas3,28,0.05405405405405406,9,0.017374517374517374,19,0.03667953667953668,975.0,0.27386578852999377,SMC?
Elf5,27,0.052123552123552123,3,0.005791505791505791,24,0.04633204633204633,1090.0,0.20200363581676106,SMC?
Ahr,25,0.04826254826254826,0,0.0,25,0.04826254826254826,0.0,0.18530770869925503,SMC?
Mef2c,25,0.04826254826254826,5,0.009652509652509652,20,0.03861003861003861,3348.0,0.13571674858994054,SMC?
Nfib,25,0.04826254826254826,12,0.023166023166023165,13,0.025096525096525095,765.0,0.15521237037857902,SMC?
Etv6,25,0.04826254826254826,11,0.021235521235521235,14,0.02702702702702703,3478.0,0.2128318113546628,SMC?
Runx3,24,0.04633204633204633,1,0.0019305019305019305,23,0.0444015444015444,715.0,0.1595466292909856,SMC?
Foxp1,24,0.04633204633204633,10,0.019305019305019305,14,0.02702702702702703,4798.0,0.20330188738973634,SMC?
Mitf,24,0.04633204633204633,6,0.011583011583011582,18,0.03474903474903475,1328.0,0.20132646583895752,SMC?
Creb5,24,0.04633204633204633,5,0.009652509652509652,19,0.03667953667953668,259.0,0.1169078722375658,SMC?
Glis3,24,0.04633204633204633,0,0.0,24,0.04633204633204633,0.0,0.11321044523264799,SMC?
Zbtb16,24,0.04633204633204633,7,0.013513513513513514,17,0.032818532818532815,1570.0,0.21117938683473064,SMC?
Pbx1,23,0.0444015444015444,15,0.02895752895752896,8,0.015444015444015444,1839.0,0.18538997213879388,SMC?
Bcl11a,22,0.04247104247104247,2,0.003861003861003861,20,0.03861003861003861,570.0,0.07710852899802947,SMC?
Hoxd3,21,0.04054054054054054,0,0.0,21,0.04054054054054054,0.0,0.08599645744200271,SMC?
Mlxipl,20,0.03861003861003861,2,0.003861003861003861,18,0.03474903474903475,11.0,0.053401198814600426,SMC?
Pparg,19,0.03667953667953668,3,0.005791505791505791,16,0.03088803088803089,640.0,0.09061013123180914,SMC?
Pknox2,19,0.03667953667953668,0,0.0,19,0.03667953667953668,0.0,0.07320090223897203,SMC?
Maf,19,0.03667953667953668,0,0.0,19,0.03667953667953668,0.0,0.10862032416924312,SMC?
Bach2,19,0.03667953667953668,7,0.013513513513513514,12,0.023166023166023165,2631.0,0.14052782460993454,SMC?
Irf4,18,0.03474903474903475,0,0.0,18,0.03474903474903475,0.0,0.10819272682305134,SMC?
Ikzf2,18,0.03474903474903475,0,0.0,18,0.03474903474903475,0.0,0.1688041651061685,SMC?
Inpp4b,18,0.03474903474903475,18,0.03474903474903475,0,0.0,0.0,0.24016397850471316,SMC?
Stat4,18,0.03474903474903475,3,0.005791505791505791,15,0.02895752895752896,167.0,0.07924373322170208,SMC?
Ikzf1,18,0.03474903474903475,11,0.021235521235521235,7,0.013513513513513514,46.0,0.20153003280656653,SMC?
Nfia,17,0.032818532818532815,4,0.007722007722007722,13,0.025096525096525095,1202.0,0.099488081958011,SMC?
Trps1,17,0.032818532818532815,17,0.032818532818532815,0,0.0,0.0,0.3001895030816384,SMC?
Rel,17,0.032818532818532815,0,0.0,17,0.032818532818532815,0.0,0.1280029827506092,SMC?
Skap1,17,0.032818532818532815,17,0.032818532818532815,0,0.0,0.0,0.3528750088951328,SMC?
Lef1,16,0.03088803088803089,11,0.021235521235521235,5,0.009652509652509652,284.0,0.169285175850215,SMC?
Etv1,16,0.03088803088803089,0,0.0,16,0.03088803088803089,0.0,0.09266889836111462,SMC?
Csmd1,16,0.03088803088803089,16,0.03088803088803089,0,0.0,0.0,0.25253770529453445,SMC?
Arhgap15,14,0.02702702702702703,14,0.02702702702702703,0,0.0,0.0,0.20249067368125134,SMC?
Pde4d,14,0.02702702702702703,14,0.02702702702702703,0,0.0,0.0,0.09924081075261611,SMC?
Dock2,14,0.02702702702702703,14,0.02702702702702703,0,0.0,0.0,0.24568774178216232,SMC?
Epas1,14,0.02702702702702703,0,0.0,14,0.02702702702702703,0.0,0.05053638290981356,SMC?
Ror1,13,0.025096525096525095,13,0.025096525096525095,0,0.0,0.0,0.20304886007362186,SMC?
Rbms3,13,0.025096525096525095,13,0.025096525096525095,0,0.0,0.0,0.22635295234688188,SMC?
