,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Klf8,153,0.33406113537117904,0,0.0,153,0.33406113537117904,0.0,1.0,Schwann?
Stat1,99,0.21615720524017468,1,0.002183406113537118,98,0.21397379912663755,142.0,0.4946490437530136,Schwann?
Zeb1,99,0.21615720524017468,6,0.013100436681222707,93,0.20305676855895197,2014.0,0.3583702519318447,Schwann?
Klf12,89,0.1943231441048035,1,0.002183406113537118,88,0.19213973799126638,86.0,0.3355157409381141,Schwann?
Ebf1,84,0.18340611353711792,13,0.028384279475982533,71,0.15502183406113537,3684.0,0.2803101386084994,Schwann?
Sp4,82,0.17903930131004367,0,0.0,82,0.17903930131004367,0.0,0.3794860193955937,Schwann?
Tal1,81,0.17685589519650655,0,0.0,81,0.17685589519650655,0.0,0.21159608627153217,Schwann?
Nhlh1,68,0.14847161572052403,0,0.0,68,0.14847161572052403,0.0,0.22808229571392769,Schwann?
Irf4,61,0.1331877729257642,1,0.002183406113537118,60,0.13100436681222707,59.0,0.29220468156067836,Schwann?
Mlxipl,61,0.1331877729257642,18,0.039301310043668124,43,0.09388646288209607,1832.0,0.5010809606535578,Schwann?
Mbd1,54,0.11790393013100436,0,0.0,54,0.11790393013100436,0.0,0.25154049426982406,Schwann?
Maf,50,0.1091703056768559,3,0.006550218340611353,47,0.10262008733624454,985.0,0.10007387083704683,Schwann?
Foxn3,46,0.10043668122270742,7,0.015283842794759825,39,0.0851528384279476,850.0,0.18834602995891275,Schwann?
Tcf7l2,45,0.0982532751091703,1,0.002183406113537118,44,0.09606986899563319,151.0,0.1294788439766777,Schwann?
Egr1,44,0.09606986899563319,0,0.0,44,0.09606986899563319,0.0,0.17572680703234378,Schwann?
Prdm16,43,0.09388646288209607,3,0.006550218340611353,40,0.08733624454148471,124.0,0.25197684389004144,Schwann?
Ppara,43,0.09388646288209607,8,0.017467248908296942,35,0.07641921397379912,380.0,0.2942311831090243,Schwann?
Pou3f1,42,0.09170305676855896,0,0.0,42,0.09170305676855896,0.0,0.16343673456723193,Schwann?
Tbx5,41,0.08951965065502183,0,0.0,41,0.08951965065502183,0.0,0.11547320623420462,Schwann?
Hey2,41,0.08951965065502183,0,0.0,41,0.08951965065502183,0.0,0.187336696153052,Schwann?
Zbtb7c,40,0.08733624454148471,1,0.002183406113537118,39,0.0851528384279476,15.0,0.2878616940795855,Schwann?
Pparg,34,0.07423580786026202,13,0.028384279475982533,21,0.04585152838427948,666.0,0.328412714207822,Schwann?
Id1,32,0.06986899563318777,0,0.0,32,0.06986899563318777,0.0,0.24059102885329112,Schwann?
Klf4,31,0.06768558951965066,0,0.0,31,0.06768558951965066,0.0,0.14039885017454895,Schwann?
Nfia,30,0.06550218340611354,14,0.03056768558951965,16,0.034934497816593885,280.0,0.20520824961202944,Schwann?
Mitf,29,0.06331877729257641,13,0.028384279475982533,16,0.034934497816593885,1671.0,0.12983967115562356,Schwann?
Nr2f1,29,0.06331877729257641,0,0.0,29,0.06331877729257641,0.0,0.11313561058422575,Schwann?
Ppargc1a,29,0.06331877729257641,3,0.006550218340611353,26,0.056768558951965066,701.0,0.11178304772736992,Schwann?
Ikzf2,29,0.06331877729257641,5,0.010917030567685589,24,0.05240174672489083,217.0,0.17298713011520045,Schwann?
Ets1,27,0.05895196506550218,1,0.002183406113537118,26,0.056768558951965066,138.0,0.08195080228161669,Schwann?
Fosl2,26,0.056768558951965066,0,0.0,26,0.056768558951965066,0.0,0.0757866747551787,Schwann?
