,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Zeb1,152,0.2857142857142857,8,0.015037593984962405,144,0.2706766917293233,4056.0,1.0,Tcells
Ets1,124,0.23308270676691728,7,0.013157894736842105,117,0.2199248120300752,2134.0,0.8776857671570971,Tcells
Fli1,116,0.21804511278195488,5,0.009398496240601503,111,0.20864661654135339,1932.0,0.7656737068579914,Tcells
Stat1,113,0.212406015037594,8,0.015037593984962405,105,0.19736842105263158,2672.0,0.7107946071053375,Tcells
Klf12,100,0.18796992481203006,1,0.0018796992481203006,99,0.18609022556390978,3561.0,0.4652867017144272,Tcells
Pax5,78,0.14661654135338345,3,0.005639097744360902,75,0.14097744360902256,2116.0,0.1631313332394857,Tcells
Pbx3,63,0.11842105263157894,0,0.0,63,0.11842105263157894,0.0,0.2280403521162812,Tcells
Mef2c,61,0.11466165413533834,4,0.007518796992481203,57,0.10714285714285714,2978.0,0.2158512700690787,Tcells
Irf4,58,0.10902255639097744,0,0.0,58,0.10902255639097744,0.0,0.17005820239935418,Tcells
Klf2,56,0.10526315789473684,0,0.0,56,0.10526315789473684,0.0,0.23425266800109043,Tcells
Spi1,54,0.10150375939849623,0,0.0,54,0.10150375939849623,0.0,0.15409768133254365,Tcells
Foxn3,54,0.10150375939849623,6,0.011278195488721804,48,0.09022556390977443,1207.0,0.36936513230215917,Tcells
Pou2f2,53,0.09962406015037593,1,0.0018796992481203006,52,0.09774436090225563,298.0,0.1905946509455291,Tcells
Rel,50,0.09398496240601503,0,0.0,50,0.09398496240601503,0.0,0.1838199491200226,Tcells
Ebf1,48,0.09022556390977443,8,0.015037593984962405,40,0.07518796992481203,5977.0,0.23775437978821654,Tcells
Nfatc1,47,0.08834586466165413,9,0.016917293233082706,38,0.07142857142857142,3264.0,0.15183534980321847,Tcells
Sp4,46,0.08646616541353383,3,0.005639097744360902,43,0.08082706766917293,2092.0,0.2885384772334482,Tcells
Maf,46,0.08646616541353383,2,0.0037593984962406013,44,0.08270676691729323,375.0,0.23345843774764616,Tcells
Lyl1,44,0.08270676691729323,0,0.0,44,0.08270676691729323,0.0,0.13291726875168808,Tcells
Prdm16,42,0.07894736842105263,1,0.0018796992481203006,41,0.07706766917293233,39.0,0.13249180308867897,Tcells
Egr1,41,0.07706766917293233,0,0.0,41,0.07706766917293233,0.0,0.21991297263827597,Tcells
Bcl11b,38,0.07142857142857142,7,0.013157894736842105,31,0.05827067669172932,434.0,0.2468948500774799,Tcells
Mbd1,37,0.06954887218045112,0,0.0,37,0.06954887218045112,0.0,0.20185230830635767,Tcells
Bach2,35,0.06578947368421052,11,0.020676691729323307,24,0.045112781954887216,584.0,0.17548971375770794,Tcells
Runx3,33,0.06203007518796992,8,0.015037593984962405,25,0.046992481203007516,2631.0,0.12202648428092862,Tcells
Jdp2,29,0.05451127819548872,0,0.0,29,0.05451127819548872,0.0,0.14239397137962828,Tcells
Tcf7l2,28,0.05263157894736842,1,0.0018796992481203006,27,0.05075187969924812,427.0,0.07513038705363516,Tcells
Klf8,24,0.045112781954887216,0,0.0,24,0.045112781954887216,0.0,0.07916275124642577,Tcells
Ikzf3,23,0.043233082706766915,10,0.018796992481203006,13,0.02443609022556391,611.0,0.15941093390122144,Tcells
