source,target,coef_mean,coef_abs,p,-logp
Foxa1,1110019D14Rik,0.0072168945,0.0072168945,0.0009658110398813348,3.015107834624074
Tfap2b,1110019D14Rik,0.00936581,0.00936581,1.7324851264922136e-06,5.761330485149106
Ppara,1110019D14Rik,0.0057112966,0.0057112966,0.003170552413962622,2.4988650628818183
Nr4a3,1110019D14Rik,0.0030715046,0.0030715046,0.0020692681045457167,2.684183236361128
Mbd1,1110019D14Rik,0.007859216,0.007859216,0.0002510370784258232,3.6002621280549665
Plagl1,1110019D14Rik,0.007967979,0.007967979,1.3224295159453987e-07,6.878627466099372
Maf,1110019D14Rik,-0.0027248992,0.0027248992,0.09677647437112694,1.0142302035650168
Ehf,1110019D14Rik,0.010028885,0.010028885,3.2512324912807327e-06,5.487951973576736
Egr1,1110019D14Rik,-0.006711138,0.006711138,5.7512989844234515e-11,10.240234054779231
Batf3,1110019D14Rik,-0.0022235827,0.0022235827,3.7201821604764886e-05,4.42943579416303
Fos,1110019D14Rik,-0.00019066992,0.00019066992,0.8628364287369776,0.06407152737863454
Mlxipl,1110019D14Rik,0.0073210653,0.0073210653,0.001356612151402255,2.8675442972051615
Pgr,1110019D14Rik,0.0144242,0.0144242,7.388940366355257e-08,7.131417838471327
Pparg,1110019D14Rik,0.005864888,0.005864888,0.0006715373570160502,3.1729298229138645
Prrx1,1110019D14Rik,0.020322474,0.020322474,7.587626101781642e-13,12.119894078143659
Pou2f2,1110019D14Rik,-0.0042481823,0.0042481823,0.00012809580017366962,3.892465109063281
Mef2c,1110019D14Rik,0.007412241,0.007412241,1.051270877440498e-05,4.97828536635011
Foxp3,1110019D14Rik,0.0003081627,0.0003081627,0.5622885846589813,0.25004073326089205
Elf5,1110019D14Rik,0.012084005,0.012084005,9.269786051312656e-09,8.03293028935136
Gata3,1110019D14Rik,0.013274903,0.013274903,4.244234892957671e-09,8.372200588509527
Lhx6,1110019D14Rik,0.009440444,0.009440444,2.1127589751132567e-10,9.675150044712394
Prdm16,1110019D14Rik,0.0057764347,0.0057764347,0.0016721753713067509,2.7767181773773633
Hes1,1110019D14Rik,0.011999337,0.011999337,6.734808022234601e-11,10.171674779461776
Mecom,1110019D14Rik,-0.0018451429,0.0018451429,0.013767813400066798,1.8611350287838146
Ar,1110019D14Rik,0.018757204,0.018757204,2.771631767866881e-09,8.557264469517074
Pax5,1110019D14Rik,-0.0020312264,0.0020312264,0.02443805474198796,1.611933366696384
Irf4,1110019D14Rik,2.352926e-05,2.352926e-05,0.9746755991711566,0.01113990628373708
Npas3,1110019D14Rik,0.009221301,0.009221301,1.7861557485083075e-05,4.748080674356441
Trp63,1110019D14Rik,0.009311805,0.009311805,9.763803394449726e-08,7.0103809741918885
Lhx8,1110019D14Rik,0.0017388167,0.0017388167,0.4589524890733897,0.33823227045669485
Bcl11a,1110019D14Rik,-0.002703107,0.002703107,0.09437799145431246,1.025129269518931
Ppargc1a,1110019D14Rik,0.0049419072,0.0049419072,0.0011936409796989857,2.923126279556702
Ebf3,1110019D14Rik,0.009379554,0.009379554,0.00015221065251766705,3.8175549522451457
Esr1,1700111E14Rik,0.0527229,0.0527229,9.326877658187888e-11,10.030263719894418
Mef2c,1700113H08Rik,-0.00039934664,0.00039934664,5.146864656713545e-05,4.28845725191989
Foxa1,1700113H08Rik,-0.00016937536,0.00016937536,0.0647715671631391,1.1886155949629398
