cell_type,rank,gene,degree_centrality_all
Adipocyte,1,Zeb1,0.2390852390852391
Adipocyte,2,Ebf1,0.2390852390852391
Adipocyte,3,Stat1,0.20374220374220375
Adipocyte,4,Klf12,0.20374220374220375
Adipocyte,5,Mlxipl,0.19750519750519752
Adipocyte,6,Tcf7l2,0.19542619542619544
Adipocyte,7,Ets1,0.18087318087318088
Adipocyte,8,Klf2,0.13097713097713098
Adipocyte,9,Ar,0.12266112266112267
Adipocyte,10,Zbtb7c,0.10810810810810811
Adipocyte,11,Pparg,0.10810810810810811
Adipocyte,12,Fli1,0.10395010395010396
Adipocyte,13,Pbx3,0.10187110187110188
Adipocyte,14,Trp63,0.08316008316008316
Adipocyte,15,Glis3,0.08108108108108109
Adipocyte,16,Npas3,0.079002079002079
Adipocyte,17,Tal1,0.07484407484407485
Adipocyte,18,E2f7,0.07484407484407485
Adipocyte,19,Pbx1,0.07276507276507277
Adipocyte,20,Etv5,0.07068607068607069
Adipocyte,21,Maf,0.07068607068607069
Adipocyte,22,Nfia,0.06652806652806653
Adipocyte,23,Mef2c,0.06444906444906445
Adipocyte,24,Irf8,0.062370062370062374
Adipocyte,25,Nfib,0.060291060291060294
Adipocyte,26,Ppara,0.060291060291060294
Adipocyte,27,Creb5,0.060291060291060294
Adipocyte,28,Bcl11b,0.058212058212058215
Adipocyte,29,Etv6,0.05405405405405406
Adipocyte,30,Ebf3,0.05405405405405406
Adipocyte,31,Fgf14,0.04573804573804574
Adipocyte,32,Batf,0.04365904365904366
Adipocyte,33,Zbtb16,0.04158004158004158
Adipocyte,34,Tcf4,0.04158004158004158
Adipocyte,35,Hoxd3,0.037422037422037424
Adipocyte,36,Pnpla3,0.037422037422037424
Adipocyte,37,Rora,0.037422037422037424
Adipocyte,38,Pou2f2,0.037422037422037424
Adipocyte,39,Prr16,0.037422037422037424
Adipocyte,40,Prdm5,0.037422037422037424
Adipocyte,41,Eepd1,0.037422037422037424
Adipocyte,42,Ahr,0.037422037422037424
Adipocyte,43,Bach2,0.035343035343035345
Adipocyte,44,Pacrg,0.035343035343035345
Adipocyte,45,Id1,0.035343035343035345
Adipocyte,46,Epas1,0.035343035343035345
Adipocyte,47,Gli3,0.031185031185031187
Adipocyte,48,Gli2,0.031185031185031187
Adipocyte,49,Serpine1,0.031185031185031187
Adipocyte,50,Npas2,0.031185031185031187
BasalEpi_Acta2+Trp63,1,Mef2c,0.26337448559670784
BasalEpi_Acta2+Trp63,2,Ets1,0.17901234567901234
BasalEpi_Acta2+Trp63,3,Tcf7l2,0.16255144032921812
BasalEpi_Acta2+Trp63,4,Trp63,0.16255144032921812
BasalEpi_Acta2+Trp63,5,Ehf,0.16049382716049382
BasalEpi_Acta2+Trp63,6,Stat1,0.15637860082304528
BasalEpi_Acta2+Trp63,7,Npas3,0.1419753086419753
BasalEpi_Acta2+Trp63,8,Zeb1,0.1419753086419753
BasalEpi_Acta2+Trp63,9,Glis3,0.12962962962962962
BasalEpi_Acta2+Trp63,10,Bcl11a,0.12962962962962962
BasalEpi_Acta2+Trp63,11,Klf12,0.11934156378600823
BasalEpi_Acta2+Trp63,12,Ar,0.11316872427983539
BasalEpi_Acta2+Trp63,13,Fli1,0.1111111111111111
BasalEpi_Acta2+Trp63,14,Elf5,0.102880658436214
BasalEpi_Acta2+Trp63,15,Npas2,0.10082304526748971
BasalEpi_Acta2+Trp63,16,Klf2,0.09465020576131687
BasalEpi_Acta2+Trp63,17,Zbtb7c,0.09259259259259259
BasalEpi_Acta2+Trp63,18,Creb5,0.08641975308641975
BasalEpi_Acta2+Trp63,19,Ahr,0.08641975308641975
BasalEpi_Acta2+Trp63,20,Bcl11b,0.0823045267489712
BasalEpi_Acta2+Trp63,21,Nfib,0.06790123456790123
BasalEpi_Acta2+Trp63,22,Prdm1,0.06790123456790123
BasalEpi_Acta2+Trp63,23,Prdm5,0.06378600823045268
BasalEpi_Acta2+Trp63,24,Pax5,0.06378600823045268
BasalEpi_Acta2+Trp63,25,Etv6,0.059670781893004114
BasalEpi_Acta2+Trp63,26,Gli2,0.059670781893004114
BasalEpi_Acta2+Trp63,27,Nfatc2,0.05761316872427984
BasalEpi_Acta2+Trp63,28,Pou2f2,0.05761316872427984
BasalEpi_Acta2+Trp63,29,Tcf4,0.05555555555555555
BasalEpi_Acta2+Trp63,30,Batf,0.05555555555555555
BasalEpi_Acta2+Trp63,31,Rora,0.053497942386831275
BasalEpi_Acta2+Trp63,32,Rel,0.051440329218107
BasalEpi_Acta2+Trp63,33,Epas1,0.051440329218107
BasalEpi_Acta2+Trp63,34,E2f7,0.04938271604938271
BasalEpi_Acta2+Trp63,35,Nfia,0.04938271604938271
BasalEpi_Acta2+Trp63,36,Pbx3,0.047325102880658436
BasalEpi_Acta2+Trp63,37,Gli3,0.04526748971193416
BasalEpi_Acta2+Trp63,38,Etv5,0.04526748971193416
BasalEpi_Acta2+Trp63,39,Ebf1,0.043209876543209874
BasalEpi_Acta2+Trp63,40,Tfcp2l1,0.0411522633744856
BasalEpi_Acta2+Trp63,41,Fhod3,0.037037037037037035
BasalEpi_Acta2+Trp63,42,Nfatc1,0.037037037037037035
BasalEpi_Acta2+Trp63,43,Dmd,0.037037037037037035
BasalEpi_Acta2+Trp63,44,Bach2,0.037037037037037035
BasalEpi_Acta2+Trp63,45,Pbx1,0.037037037037037035
BasalEpi_Acta2+Trp63,46,Cacna2d1,0.037037037037037035
BasalEpi_Acta2+Trp63,47,Foxp1,0.03497942386831276
BasalEpi_Acta2+Trp63,48,Prkg1,0.03497942386831276
BasalEpi_Acta2+Trp63,49,Pgr,0.03497942386831276
BasalEpi_Acta2+Trp63,50,Prrx1,0.03497942386831276
Bcells,1,Ets1,0.22879684418145957
Bcells,2,Stat1,0.22090729783037474
Bcells,3,Tcf7l2,0.1794871794871795
Bcells,4,Pax5,0.16765285996055226
Bcells,5,Zeb1,0.15187376725838264
Bcells,6,Fli1,0.14792899408284024
Bcells,7,Mef2c,0.1341222879684418
Bcells,8,Bcl11a,0.11637080867850098
Bcells,9,Zbtb7c,0.11242603550295859
Bcells,10,Npas2,0.10650887573964497
Bcells,11,Bcl11b,0.10453648915187377
Bcells,12,Glis3,0.09664694280078895
Bcells,13,Klf12,0.09664694280078895
Bcells,14,Ebf1,0.09467455621301775
Bcells,15,Pbx3,0.09270216962524655
Bcells,16,Pou2f2,0.09270216962524655
Bcells,17,Ehf,0.09072978303747535
Bcells,18,Nfatc1,0.08284023668639054
Bcells,19,Gata2,0.08284023668639054
Bcells,20,Klf2,0.07889546351084813
Bcells,21,Nfatc2,0.07495069033530571
Bcells,22,Nfib,0.07495069033530571
Bcells,23,Batf,0.07297830374753451
Bcells,24,Tal1,0.06903353057199212
Bcells,25,Npas3,0.06903353057199212
Bcells,26,Rora,0.0631163708086785
Bcells,27,Ahr,0.0631163708086785
Bcells,28,Creb5,0.0611439842209073
Bcells,29,Elf5,0.0611439842209073
Bcells,30,Bach2,0.05719921104536489
Bcells,31,Runx3,0.055226824457593686
Bcells,32,Tcf15,0.05325443786982249
Bcells,33,Foxp1,0.05325443786982249
Bcells,34,Foxp3,0.05128205128205128
Bcells,35,Nfia,0.05128205128205128
Bcells,36,Etv6,0.047337278106508875
Bcells,37,Stat4,0.045364891518737675
Bcells,38,Erg,0.04339250493096647
Bcells,39,Etv5,0.04142011834319527
Bcells,40,Tcf4,0.04142011834319527
Bcells,41,Pbx1,0.04142011834319527
Bcells,42,Irf8,0.04142011834319527
Bcells,43,Rel,0.03944773175542406
Bcells,44,Arhgap15,0.03747534516765286
