,condition_tvalue,abs_tvalue
Gatad1(+),-4.234123256499244,4.234123256499244
Jund(+),-3.600051195517273,3.600051195517273
Ebf1(+),3.242412126305286,3.242412126305286
Cebpb(+),-3.1025205288379456,3.1025205288379456
Pparg(+),2.8616586722977098,2.8616586722977098
Stat5a(+),-2.4496142236054457,2.4496142236054457
Zbtb20(+),2.426366092771179,2.426366092771179
Spi1(+),2.2913448665860834,2.2913448665860834
Runx1(+),1.7959428254455478,1.7959428254455478
Relb(+),-1.7849199286227402,1.7849199286227402
Stat3(+),-1.7743023178069837,1.7743023178069837
Elf2(+),-1.5709023433446958,1.5709023433446958
Ube2k(+),-1.5041766201929816,1.5041766201929816
Ets1(+),1.2717757358909494,1.2717757358909494
Gata3(+),-1.236528601370137,1.236528601370137
Pou3f1(+),1.1760714441304971,1.1760714441304971
E2f8(+),1.1502335098569239,1.1502335098569239
Atf7(+),-1.1238234724888223,1.1238234724888223
Erg(+),-1.1107188853854257,1.1107188853854257
Six3(+),-1.108638288878297,1.108638288878297
Rora(+),1.070965351028792,1.070965351028792
Tcf4(+),1.0091554851072155,1.0091554851072155
Ep300(+),0.9841456446977039,0.9841456446977039
Bclaf1(+),0.9818941882105718,0.9818941882105718
Elf1(+),-0.9498016014018128,0.9498016014018128
Mtf2(+),-0.8926439521108974,0.8926439521108974
Nfia(+),0.8581648023532922,0.8581648023532922
Lef1(+),0.6399348855255487,0.6399348855255487
Bptf(+),-0.5847539170753684,0.5847539170753684
Ikzf1(+),0.578421191832985,0.578421191832985
Fli1(+),0.5212160095009006,0.5212160095009006
Nfib(+),-0.47429716513477643,0.47429716513477643
Tcf12(+),0.3869293208148669,0.3869293208148669
Rreb1(+),0.3361655514234246,0.3361655514234246
Pgr(+),0.3316359994211263,0.3316359994211263
Maf(+),0.31647052645992463,0.31647052645992463
Sox4(+),0.26573612477237674,0.26573612477237674
