,condition_tvalue,abs_tvalue
Elf2(+),-5.567781626142705,5.567781626142705
Maf(+),-4.6481740218621495,4.6481740218621495
Spi1(+),-3.747615833946199,3.747615833946199
Cebpb(+),-3.64958232984396,3.64958232984396
Ube2k(+),-3.350639799660348,3.350639799660348
Elf1(+),-3.245951369465104,3.245951369465104
Atf7(+),-3.2292493378859324,3.2292493378859324
Rreb1(+),-3.197998903617348,3.197998903617348
Gatad1(+),-3.1417595220117756,3.1417595220117756
Jund(+),-3.134780350012301,3.134780350012301
Fli1(+),-3.1125749681728134,3.1125749681728134
Zbtb20(+),-3.1062698400047672,3.1062698400047672
Tcf12(+),-2.881286877268282,2.881286877268282
Bclaf1(+),-2.8191534010162784,2.8191534010162784
Nfia(+),-2.775997038474089,2.775997038474089
Mtf2(+),-2.364620053731446,2.364620053731446
Pgr(+),2.2921977223499947,2.2921977223499947
Bptf(+),-2.2122768269046955,2.2122768269046955
Ep300(+),2.042452350491851,2.042452350491851
Gata3(+),-1.89423983470463,1.89423983470463
Ebf1(+),1.8746735544597946,1.8746735544597946
Relb(+),-1.868763240549241,1.868763240549241
Ikzf1(+),-1.825804969744771,1.825804969744771
Tcf4(+),1.7215746095995703,1.7215746095995703
Pparg(+),1.7067896656008859,1.7067896656008859
Erg(+),1.6567058365832745,1.6567058365832745
Pou3f1(+),-1.6273751144612876,1.6273751144612876
Stat3(+),-1.550438143039418,1.550438143039418
Sox4(+),1.4981473194342398,1.4981473194342398
Ets1(+),-1.3798244030285465,1.3798244030285465
Stat5a(+),-1.1675076642791353,1.1675076642791353
Lef1(+),-1.121319482643083,1.121319482643083
Runx1(+),0.817696508596825,0.817696508596825
Rora(+),-0.5647594097929721,0.5647594097929721
Nfib(+),-0.29390234525096914,0.29390234525096914
Six3(+),-0.12320983707208753,0.12320983707208753
E2f8(+),-0.08405450827964475,0.08405450827964475
